idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.001,100,0.5,4,1,400,4,1e-07,90.24333467756301,68.7281795511222,90.81563878615293,69.19242273180458
1,0.001,100,0.5,4,1,400,4,1e-07,90.44723112176175,69.67581047381546,90.85451941983438,70.28913260219342
2,0.001,100,0.5,4,1,400,4,1e-07,90.69391217051597,68.17955112219451,90.76476357379568,66.6999002991027
3,0.001,100,0.5,4,1,400,4,1e-07,90.40766387274371,67.63092269326684,90.26537850572328,66.79960119641076
4,0.001,100,0.5,4,1,400,4,1e-07,90.1982989902983,68.428927680798,90.66384682081097,66.10169491525424
5,0.001,100,0.5,4,1,400,4,1e-07,90.62531373691348,69.32668329177058,90.99265297205307,69.99002991026919
6,0.001,100,0.5,4,1,400,4,1e-07,90.45578654810927,65.13715710723193,90.71650627068514,63.808574277168496
7,0.001,100,0.5,4,1,400,4,1e-07,90.41907356685182,69.17705735660847,91.12372191573697,69.59122632103688
8,0.001,100,0.5,4,1,400,4,1e-07,90.39493287407412,68.12967581047381,90.76686483021635,66.00199401794616
9,0.001,100,0.5,4,1,400,4,1e-07,90.53211785049406,68.3291770573566,90.90409602439603,67.79661016949152
10,0.001,100,0.5,4,1,400,4,1e-07,90.53645452596383,68.3291770573566,91.32557689381005,67.59720837487538
11,0.001,100,0.5,4,1,400,4,1e-07,90.21825065138964,66.58354114713218,90.62263828521375,65.40378863409771
12,0.001,100,0.5,4,1,400,4,1e-07,90.4260252557677,67.53117206982544,91.02295786022006,65.80259222333001
13,0.001,100,0.5,4,1,400,4,1e-07,90.37548604639571,68.47880299251871,90.88952004989075,69.0927218344965
14,0.001,100,0.5,4,1,400,4,1e-07,89.98123329223573,66.58354114713218,90.34824985833939,67.59720837487538
15,0.001,100,0.5,4,1,400,4,1e-07,90.45118470074114,67.13216957605985,90.127188371045,65.0049850448654
16,0.001,100,0.5,4,1,400,4,1e-07,90.64673488229609,68.6284289276808,90.99829404870964,66.60019940179461
17,0.001,100,0.5,4,1,400,4,1e-07,90.64704644230731,66.33416458852868,91.11760638351944,65.20438683948156
18,0.001,100,0.5,4,1,400,4,1e-07,90.61244254207905,68.6284289276808,91.04867308898736,67.69690927218345
19,0.001,100,0.5,4,1,400,4,1e-07,90.26987097603548,66.38403990024938,91.05596685775738,66.99900299102693
20,0.001,100,0.5,4,1,400,4,1e-07,90.3428637810371,67.33167082294264,90.40717396224422,66.6999002991027
21,0.001,100,0.5,4,1,400,4,1e-07,90.70677301685338,68.82793017456359,90.96864785520809,67.39780658025923
22,0.001,100,0.5,4,1,400,4,1e-07,90.56524477977219,68.47880299251871,90.71171893208317,67.8963110667996
23,0.001,100,0.5,4,1,400,4,1e-07,90.78036651948211,69.17705735660847,90.56977076189884,68.59421734795613
24,0.001,100,0.5,4,1,400,4,1e-07,90.70280455449021,68.7281795511222,90.56223383398948,67.39780658025923
25,0.001,100,0.5,4,1,400,4,1e-07,90.5233302678586,68.87780548628429,90.6892346980704,67.8963110667996
26,0.001,100,0.5,4,1,400,4,1e-07,90.75914034802182,67.93017456359102,91.22952098532028,65.80259222333001
27,0.001,100,0.5,4,1,400,4,1e-07,90.19901896876121,66.03491271820448,90.52106000283845,65.80259222333001
28,0.001,100,0.5,4,1,400,4,1e-07,90.43375925415488,69.72568578553616,90.9477931081107,68.79361914257228
29,0.001,100,0.5,4,1,400,4,1e-07,91.00145054239238,69.17705735660847,91.5677424858901,69.19242273180458
30,0.001,100,0.5,4,1,400,4,1e-07,90.45718593771088,66.93266832917706,90.8590247884956,66.89930209371884
31,0.001,100,0.5,4,1,400,4,1e-07,90.63276927040275,70.22443890274315,91.02941791083491,68.59421734795613
32,0.001,100,0.5,4,1,400,4,1e-07,90.98257623137059,64.73815461346634,91.40829725399736,64.50648055832502
33,0.001,100,0.5,4,1,400,4,1e-07,90.39260595378302,68.87780548628429,90.95721240849615,69.29212362911267
34,0.001,100,0.5,4,1,400,4,1e-07,90.75543484327552,68.22942643391521,91.48487227779462,66.89930209371884
35,0.001,100,0.5,4,1,400,4,1e-07,90.26904160865955,67.73067331670823,91.21721207280655,67.59720837487538
36,0.001,100,0.5,4,1,400,4,1e-07,90.63436327786401,68.12967581047381,90.48147998893565,65.80259222333001
37,0.001,100,0.5,4,1,400,4,1e-07,90.19680385534843,68.17955112219451,90.01275846761533,66.60019940179461
38,0.001,100,0.5,4,1,400,4,1e-07,90.39896802250205,67.98004987531172,90.983723960835,67.79661016949152
39,0.001,100,0.5,4,1,400,4,1e-07,90.5598949030578,70.37406483790524,90.69930367590612,70.38883349950149
40,0.001,100,0.5,4,1,400,4,1e-07,90.67667755470234,68.22942643391521,91.20911875982229,67.19840478564308
41,0.001,100,0.5,4,1,400,4,1e-07,90.2323909473803,66.73316708229426,90.71654966159586,65.40378863409771
42,0.001,100,0.5,4,1,400,4,1e-07,90.88047244409009,68.37905236907731,91.21308380525419,67.39780658025923
43,0.001,100,0.5,4,1,400,4,1e-07,90.60703277066328,68.17955112219451,91.26245995066219,69.0927218344965
44,0.001,100,0.5,4,1,400,4,1e-07,90.65455000237864,69.07730673316709,90.50986456318203,66.20139581256231
45,0.001,100,0.5,4,1,400,4,1e-07,90.82708289973836,69.67581047381546,91.11363238712757,70.58823529411765
46,0.001,100,0.5,4,1,400,4,1e-07,90.82860111296404,70.62344139650872,91.12531417883612,69.89032901296112
47,0.001,100,0.5,4,1,400,4,1e-07,90.46124142968709,67.73067331670823,90.77017930661249,66.3010967098704
48,0.001,100,0.5,4,1,400,4,1e-07,90.43513993623051,69.02743142144638,90.3943008198896,68.29511465603191
49,0.001,100,0.5,4,1,400,4,1e-07,90.26884911249077,67.38154613466334,90.79389625032735,67.098703888335
