idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.0005,8,0.005,2,2,1,6,1e-07,88.764110422456,70.17456359102245,90.60956919994375,73.678963110668
0,0.0005,8,0.005,2,3,1,6,1e-07,89.96983754422074,72.26932668329177,91.34648433339817,74.27716849451646
0,0.0007,8,0.005,2,2,1,6,1e-07,89.49879614971805,71.47132169576061,90.87040636281183,73.08075772681954
0,0.0007,8,0.005,2,3,1,6,1e-07,89.1921379159721,71.17206982543641,91.21272788569024,73.77866400797608
1,0.0005,8,0.005,2,2,1,6,1e-07,89.60433585184234,71.3216957605985,90.92209212881383,72.18344965104686
1,0.0005,8,0.005,2,3,1,6,1e-07,89.76327317448334,72.46882793017456,90.72162503017775,73.47956131605184
1,0.0007,8,0.005,2,2,1,6,1e-07,89.81720518582927,72.21945137157107,90.0794546417152,73.28015952143569
1,0.0007,8,0.005,2,3,1,6,1e-07,90.31630373918603,73.41645885286783,91.34536028262185,75.07477567298105
2,0.0005,8,0.005,2,2,1,6,1e-07,89.8338156903842,73.21695760598503,91.22649906129026,73.37986041874377
2,0.0005,8,0.005,2,3,1,6,1e-07,90.24257449137045,72.81795511221945,91.49742795299228,73.678963110668
2,0.0007,8,0.005,2,2,1,6,1e-07,89.82619364873574,72.76807980049875,91.35103509633444,73.97806580259221
2,0.0007,8,0.005,2,3,1,6,1e-07,89.44079339598395,72.66832917705736,90.74824849099524,72.18344965104686
3,0.0005,8,0.005,2,2,1,6,1e-07,89.46572192950221,71.3216957605985,90.92772079382779,74.17746759720838
3,0.0005,8,0.005,2,3,1,6,1e-07,90.43196685248321,73.76558603491273,91.31635498201317,73.28015952143569
3,0.0007,8,0.005,2,2,1,6,1e-07,90.69105440343588,73.46633416458853,91.17266374721673,73.678963110668
3,0.0007,8,0.005,2,3,1,6,1e-07,90.63525094406346,71.82044887780549,91.81777472356501,73.37986041874377
4,0.0005,8,0.005,2,2,1,6,1e-07,89.8481870941179,72.36907730673316,91.52532528984769,74.27716849451646
4,0.0005,8,0.005,2,3,1,6,1e-07,90.24816777213402,74.0149625935162,91.09950740270509,74.0777666999003
4,0.0007,8,0.005,2,2,1,6,1e-07,89.99272407884301,72.81795511221945,91.34290138656993,73.57926221335993
4,0.0007,8,0.005,2,3,1,6,1e-07,90.81595090800337,72.81795511221945,91.83477686607488,74.67597208374876
5,0.0005,8,0.005,2,2,1,6,1e-07,89.84263587479442,72.31920199501248,90.76027306557768,73.47956131605184
5,0.0005,8,0.005,2,3,1,6,1e-07,89.92082409726339,71.37157107231921,91.85306763373423,75.17447657028913
5,0.0007,8,0.005,2,2,1,6,1e-07,89.43106686243716,71.47132169576061,90.96534160027086,72.38285144566301
5,0.0007,8,0.005,2,3,1,6,1e-07,90.07117101843062,72.51870324189527,92.03035642876982,72.88135593220339
6,0.0005,8,0.005,2,2,1,6,1e-07,90.13196976888422,73.01745635910224,90.95681715741544,73.37986041874377
6,0.0005,8,0.005,2,3,1,6,1e-07,90.17107091818632,71.97007481296758,91.37810043752646,74.67597208374876
6,0.0007,8,0.005,2,2,1,6,1e-07,89.55273443930088,72.46882793017456,90.74749394780017,73.37986041874377
6,0.0007,8,0.005,2,3,1,6,1e-07,88.85243751025767,71.77057356608478,91.40694207340184,72.48255234297109
7,0.0005,8,0.005,2,2,1,6,1e-07,89.38687751804214,71.37157107231921,91.19370439388825,73.77866400797608
7,0.0005,8,0.005,2,3,1,6,1e-07,89.44138034774114,71.77057356608478,90.41688804407329,71.88434695912264
7,0.0007,8,0.005,2,2,1,6,1e-07,90.20435257394227,72.06982543640898,91.39613857799077,73.678963110668
7,0.0007,8,0.005,2,3,1,6,1e-07,89.59174171759578,72.01995012468828,91.05756779910324,74.17746759720838
8,0.0005,8,0.005,2,2,1,6,1e-07,89.50042789659928,71.77057356608478,91.14684854248966,73.18045862412762
8,0.0005,8,0.005,2,3,1,6,1e-07,89.690442439427,71.87032418952619,90.44500505540587,72.78165503489531
8,0.0007,8,0.005,2,2,1,6,1e-07,90.13465518571326,72.46882793017456,91.00798373985714,72.28315054835494
8,0.0007,8,0.005,2,3,1,6,1e-07,90.32588884220252,73.11720698254364,91.66935595177496,72.78165503489531
9,0.0005,8,0.005,2,2,1,6,1e-07,89.760125817216,72.36907730673316,91.37537147317867,73.678963110668
9,0.0005,8,0.005,2,3,1,6,1e-07,90.35381322135927,73.36658354114714,91.44981146108859,73.37986041874377
9,0.0007,8,0.005,2,2,1,6,1e-07,90.13566615994138,72.31920199501248,90.66873482628439,71.1864406779661
9,0.0007,8,0.005,2,3,1,6,1e-07,89.90437754835104,73.11720698254364,91.22556672824383,72.58225324027916
10,0.0005,8,0.005,2,2,1,6,1e-07,90.16795250469221,72.21945137157107,90.95142347586574,71.9840478564307
10,0.0005,8,0.005,2,3,1,6,1e-07,90.04345360803511,72.31920199501248,91.33859551487117,74.0777666999003
10,0.0007,8,0.005,2,2,1,6,1e-07,89.88091227696896,71.87032418952619,91.04657903013036,72.28315054835494
10,0.0007,8,0.005,2,3,1,6,1e-07,89.93306309952416,72.36907730673316,90.87078717928901,72.88135593220339
11,0.0005,8,0.005,2,2,1,6,1e-07,89.6478173063963,72.41895261845387,91.13323460658529,72.68195413758724
11,0.0005,8,0.005,2,3,1,6,1e-07,90.10728576949916,72.16957605985037,91.75721121937971,73.87836490528414
11,0.0007,8,0.005,2,2,1,6,1e-07,89.95780557765134,72.16957605985037,90.87835834072955,73.47956131605184
11,0.0007,8,0.005,2,3,1,6,1e-07,90.9502839080795,72.91770573566085,92.05703844519599,75.17447657028913
