idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.001,8,0.005,2,3,1,6,1e-07,89.67832091139638,72.26932668329177,90.66624643350198,72.58225324027916
0,0.001,8,0.005,2,4,1,6,1e-07,90.41416158514916,72.81795511221945,91.18499407569016,72.18344965104686
0,0.001,8,0.005,4,3,1,6,1e-07,90.69086858447565,73.41645885286783,91.52660459017913,74.27716849451646
0,0.001,8,0.005,4,4,1,6,1e-07,90.6837890968624,73.36658354114714,91.44740266163137,75.17447657028913
0,0.002,8,0.005,2,3,1,6,1e-07,90.62508181470047,72.61845386533666,92.24344372504221,73.678963110668
0,0.002,8,0.005,2,4,1,6,1e-07,90.61721204769071,72.51870324189527,91.59086141989691,74.77567298105683
0,0.002,8,0.005,4,3,1,6,1e-07,90.78859426581676,73.46633416458853,91.53646924555116,74.97507477567298
0,0.002,8,0.005,4,4,1,6,1e-07,90.4439053109341,72.71820448877806,92.33434765385101,74.77567298105683
1,0.001,8,0.005,2,3,1,6,1e-07,89.81330891748449,72.61845386533666,90.3880036095694,73.37986041874377
1,0.001,8,0.005,2,4,1,6,1e-07,90.90454621065503,73.46633416458853,91.89032168057824,75.3738783649053
1,0.001,8,0.005,4,3,1,6,1e-07,89.5259336934671,72.81795511221945,92.00764006409321,74.57627118644068
1,0.001,8,0.005,4,4,1,6,1e-07,90.05470683176743,73.41645885286783,91.68902686023539,73.87836490528414
1,0.002,8,0.005,2,3,1,6,1e-07,89.79210633183122,73.36658354114714,91.76246534823804,73.47956131605184
1,0.002,8,0.005,2,4,1,6,1e-07,89.86935456264061,72.46882793017456,91.93906477124179,74.8753738783649
1,0.002,8,0.005,4,3,1,6,1e-07,89.25311337000602,71.87032418952619,90.79365534785467,74.47657028913261
1,0.002,8,0.005,4,4,1,6,1e-07,89.5026323717401,73.91521197007481,91.7039936655722,74.0777666999003
2,0.001,8,0.005,2,3,1,6,1e-07,90.27720303733756,72.46882793017456,91.50087553580607,73.77866400797608
2,0.001,8,0.005,2,4,1,6,1e-07,90.65290368369364,74.3142144638404,91.62717601226817,74.0777666999003
2,0.001,8,0.005,4,3,1,6,1e-07,90.41767622015942,73.81546134663341,91.8756376360532,74.47657028913261
2,0.001,8,0.005,4,4,1,6,1e-07,90.09762925757687,73.31670822942642,91.93942751579168,74.37686939182453
2,0.002,8,0.005,2,3,1,6,1e-07,89.93436712042573,71.4214463840399,90.97716703768248,72.98105682951147
2,0.002,8,0.005,2,4,1,6,1e-07,90.21490151467873,72.91770573566085,91.94233063430896,75.07477567298105
2,0.002,8,0.005,4,3,1,6,1e-07,90.41037329391715,72.61845386533666,91.32981086593198,72.78165503489531
2,0.002,8,0.005,4,4,1,6,1e-07,90.54870021854738,72.91770573566085,92.09216415799581,74.57627118644068
3,0.001,8,0.005,2,3,1,6,1e-07,90.16582921556821,72.51870324189527,91.65528423169835,74.37686939182453
3,0.001,8,0.005,2,4,1,6,1e-07,90.38990237972274,73.96508728179552,90.79354680780145,73.87836490528414
3,0.001,8,0.005,4,3,1,6,1e-07,89.90757187647432,71.12219451371571,91.45134175041946,72.98105682951147
3,0.001,8,0.005,4,4,1,6,1e-07,89.92524478044585,73.41645885286783,92.0500072808176,73.678963110668
3,0.002,8,0.005,2,3,1,6,1e-07,89.6852109904092,71.77057356608478,91.36214432372213,73.97806580259221
3,0.002,8,0.005,2,4,1,6,1e-07,90.16410393208521,72.66832917705736,92.05139586901946,74.0777666999003
3,0.002,8,0.005,4,3,1,6,1e-07,90.72510011732975,72.71820448877806,91.34120044475347,73.37986041874377
3,0.002,8,0.005,4,4,1,6,1e-07,90.42689793679692,72.01995012468828,91.46578997993429,73.87836490528414
4,0.001,8,0.005,2,3,1,6,1e-07,90.17909761256522,72.96758104738154,91.68819813019157,73.37986041874377
4,0.001,8,0.005,2,4,1,6,1e-07,90.43658151926589,72.56857855361596,91.42752770963938,74.57627118644068
4,0.001,8,0.005,4,3,1,6,1e-07,90.43337311623476,72.46882793017456,91.48266333990372,74.67597208374876
4,0.001,8,0.005,4,4,1,6,1e-07,90.41246990104132,72.66832917705736,92.19557139740967,75.97208374875373
4,0.002,8,0.005,2,3,1,6,1e-07,89.27219639756505,72.86783042394015,91.2159256193651,74.8753738783649
4,0.002,8,0.005,2,4,1,6,1e-07,89.59377579257662,72.06982543640898,91.54147988529358,73.37986041874377
4,0.002,8,0.005,4,3,1,6,1e-07,89.91083385140367,72.66832917705736,90.93411662854247,73.47956131605184
4,0.002,8,0.005,4,4,1,6,1e-07,90.52008558238492,73.01745635910224,91.83246957631114,74.0777666999003
5,0.001,8,0.005,2,3,1,6,1e-07,89.94088733815634,71.87032418952619,91.38518025749687,73.37986041874377
5,0.001,8,0.005,2,4,1,6,1e-07,89.75242887057536,73.16708229426435,91.95967128097342,72.98105682951147
5,0.001,8,0.005,4,3,1,6,1e-07,89.76021151202521,73.96508728179552,92.18271264661966,73.87836490528414
5,0.001,8,0.005,4,4,1,6,1e-07,90.45329093255904,73.41645885286783,92.09242410799028,74.27716849451646
5,0.002,8,0.005,2,3,1,6,1e-07,89.21565511203055,71.97007481296758,90.9147123370577,73.77866400797608
5,0.002,8,0.005,2,4,1,6,1e-07,90.73932276801601,72.36907730673316,91.68855342288987,74.17746759720838
5,0.002,8,0.005,4,3,1,6,1e-07,90.64960159019392,73.06733167082294,92.09130752987042,74.37686939182453
5,0.002,8,0.005,4,4,1,6,1e-07,90.99138384229573,73.16708229426435,92.07126485030464,74.27716849451646
6,0.001,8,0.005,2,3,1,6,1e-07,90.25963816976488,71.87032418952619,91.19282657672964,73.18045862412762
6,0.001,8,0.005,2,4,1,6,1e-07,90.35319381430602,73.66583541147132,92.16411184805052,72.88135593220339
6,0.001,8,0.005,4,3,1,6,1e-07,90.52319778288505,72.51870324189527,91.28579674055268,73.08075772681954
6,0.001,8,0.005,4,4,1,6,1e-07,89.72060625604087,73.51620947630923,91.70851582427672,74.47657028913261
6,0.002,8,0.005,2,3,1,6,1e-07,90.62889014442351,72.56857855361596,91.20764252973001,72.48255234297109
6,0.002,8,0.005,2,4,1,6,1e-07,90.55011679556947,72.51870324189527,91.72537853210683,74.67597208374876
6,0.002,8,0.005,4,3,1,6,1e-07,90.44699811210812,71.4214463840399,90.95680018468055,72.88135593220339
6,0.002,8,0.005,4,4,1,6,1e-07,90.70826753464021,72.41895261845387,91.65248025886461,73.47956131605184
7,0.001,8,0.005,2,3,1,6,1e-07,90.48687710245193,72.81795511221945,91.37339755252188,73.57926221335993
7,0.001,8,0.005,2,4,1,6,1e-07,90.27018033211182,72.36907730673316,90.97264973023302,72.48255234297109
7,0.001,8,0.005,4,3,1,6,1e-07,90.37333744980045,72.26932668329177,91.47799365828246,73.678963110668
7,0.001,8,0.005,4,4,1,6,1e-07,91.12034183299892,73.91521197007481,91.94047223587744,74.57627118644068
7,0.002,8,0.005,2,3,1,6,1e-07,89.71334892443019,71.97007481296758,92.072841856152,75.87238285144566
7,0.002,8,0.005,2,4,1,6,1e-07,90.23314395986549,73.31670822942642,91.70530079698838,73.77866400797608
7,0.002,8,0.005,4,3,1,6,1e-07,89.48407422548311,71.52119700748129,91.11081407232648,74.17746759720838
7,0.002,8,0.005,4,4,1,6,1e-07,90.53364421765242,72.96758104738154,91.9521257391987,75.67298105682951
8,0.001,8,0.005,2,3,1,6,1e-07,90.70461637222562,73.51620947630923,91.25051163718247,74.17746759720838
8,0.001,8,0.005,2,4,1,6,1e-07,90.84330370121897,73.36658354114714,91.56713013046945,74.47657028913261
8,0.001,8,0.005,4,3,1,6,1e-07,90.24332318625642,73.36658354114714,91.72237463307609,74.67597208374876
8,0.001,8,0.005,4,4,1,6,1e-07,90.28388355062627,72.86783042394015,92.1693633867671,74.37686939182453
8,0.002,8,0.005,2,3,1,6,1e-07,90.11695092031212,71.97007481296758,91.36389191566211,72.68195413758724
8,0.002,8,0.005,2,4,1,6,1e-07,89.86064817479601,71.571072319202,91.60831325422463,73.97806580259221
8,0.002,8,0.005,4,3,1,6,1e-07,89.71561623401448,71.7206982543641,91.8770068411231,73.57926221335993
8,0.002,8,0.005,4,4,1,6,1e-07,90.2011343747877,73.46633416458853,91.75777392277172,74.47657028913261
9,0.001,8,0.005,2,3,1,6,1e-07,89.73868137616734,72.76807980049875,90.90841911599583,73.37986041874377
9,0.001,8,0.005,2,4,1,6,1e-07,90.55967061635967,72.86783042394015,91.14009658544816,74.47657028913261
9,0.001,8,0.005,4,3,1,6,1e-07,90.07678668454915,73.26683291770574,91.3592056295494,73.97806580259221
9,0.001,8,0.005,4,4,1,6,1e-07,90.64127356048614,73.06733167082294,91.18051677309043,73.57926221335993
9,0.002,8,0.005,2,3,1,6,1e-07,89.89016065580584,72.41895261845387,91.12077228201032,73.18045862412762
9,0.002,8,0.005,2,4,1,6,1e-07,89.78765373084178,72.36907730673316,91.59366224040268,72.78165503489531
9,0.002,8,0.005,4,3,1,6,1e-07,90.4823069272392,73.76558603491273,92.42261976630883,74.47657028913261
9,0.002,8,0.005,4,4,1,6,1e-07,90.07632002985412,71.77057356608478,91.83828291658472,73.678963110668
10,0.001,8,0.005,2,3,1,6,1e-07,90.58449237916174,74.11471321695761,91.1757471560291,72.78165503489531
10,0.001,8,0.005,2,4,1,6,1e-07,90.43693269807868,73.66583541147132,91.55574739785253,74.8753738783649
10,0.001,8,0.005,4,3,1,6,1e-07,90.80152007462443,73.71571072319202,91.97835426829883,74.8753738783649
10,0.001,8,0.005,4,4,1,6,1e-07,90.6967581241038,73.56608478802993,92.0244387424155,75.3738783649053
10,0.002,8,0.005,2,3,1,6,1e-07,89.21036568771268,71.17206982543641,91.21707033848826,73.47956131605184
10,0.002,8,0.005,2,4,1,6,1e-07,90.80109460156632,72.46882793017456,91.7645520661534,73.97806580259221
10,0.002,8,0.005,4,3,1,6,1e-07,89.75624924420438,72.61845386533666,90.8751164617948,73.97806580259221
10,0.002,8,0.005,4,4,1,6,1e-07,90.88725420084361,73.11720698254364,91.57136578290368,73.87836490528414
11,0.001,8,0.005,2,3,1,6,1e-07,89.86527952303129,71.6209476309227,91.80655727855832,73.08075772681954
11,0.001,8,0.005,2,4,1,6,1e-07,90.27215675664941,72.66832917705736,91.43555000916439,73.28015952143569
11,0.001,8,0.005,4,3,1,6,1e-07,90.68905037161771,72.91770573566085,91.88761265003137,73.28015952143569
11,0.001,8,0.005,4,4,1,6,1e-07,91.28856919020211,73.66583541147132,92.00807502175398,74.97507477567298
11,0.002,8,0.005,2,3,1,6,1e-07,90.65075914172228,72.91770573566085,92.17016014385878,75.2741774675972
11,0.002,8,0.005,2,4,1,6,1e-07,90.56705200325104,73.21695760598503,92.28094068020903,75.3738783649053
11,0.002,8,0.005,4,3,1,6,1e-07,89.60581174789267,71.571072319202,91.70552162588409,74.47657028913261
11,0.002,8,0.005,4,4,1,6,1e-07,90.05288621816455,73.06733167082294,91.5017354972244,72.78165503489531
12,0.001,8,0.005,2,3,1,6,1e-07,89.80306265033356,72.46882793017456,91.09030673220036,73.18045862412762
12,0.001,8,0.005,2,4,1,6,1e-07,91.0714781739915,74.66334164588528,91.4698176724138,72.18344965104686
12,0.001,8,0.005,4,3,1,6,1e-07,90.70683416586164,73.26683291770574,91.57608577720482,73.47956131605184
12,0.001,8,0.005,4,4,1,6,1e-07,90.35607037424612,72.56857855361596,91.66165336318733,74.47657028913261
12,0.002,8,0.005,2,3,1,6,1e-07,90.45124030137734,73.31670822942642,91.94080260913209,74.27716849451646
12,0.002,8,0.005,2,4,1,6,1e-07,90.67952807785557,72.81795511221945,91.91239683533047,75.17447657028913
12,0.002,8,0.005,4,3,1,6,1e-07,90.4346036022493,73.36658354114714,91.8449769045716,74.77567298105683
12,0.002,8,0.005,4,4,1,6,1e-07,90.76937577876357,72.36907730673316,91.2036251346842,73.28015952143569
13,0.001,8,0.005,2,3,1,6,1e-07,90.56708694601981,73.56608478802993,92.03878808973707,74.0777666999003
13,0.001,8,0.005,2,4,1,6,1e-07,89.19930101997355,71.7206982543641,91.27166344643666,72.88135593220339
13,0.001,8,0.005,4,3,1,6,1e-07,90.28154512171324,71.3216957605985,92.12168918374152,73.97806580259221
13,0.001,8,0.005,4,4,1,6,1e-07,90.11111410734529,72.21945137157107,91.71279024102324,74.47657028913261
13,0.002,8,0.005,2,3,1,6,1e-07,90.54787769542631,71.7206982543641,91.88271085958185,73.28015952143569
13,0.002,8,0.005,2,4,1,6,1e-07,90.22828129019436,74.713216957606,91.92095900679514,73.37986041874377
13,0.002,8,0.005,4,3,1,6,1e-07,90.73783964055501,74.214463840399,92.00027263441198,74.47657028913261
13,0.002,8,0.005,4,4,1,6,1e-07,89.89945280969732,72.66832917705736,91.2290390899645,74.0777666999003
14,0.001,8,0.005,2,3,1,6,1e-07,89.22476131120149,72.46882793017456,91.03764065204055,72.88135593220339
14,0.001,8,0.005,2,4,1,6,1e-07,89.81741638100006,72.91770573566085,91.30857837237654,73.97806580259221
14,0.001,8,0.005,4,3,1,6,1e-07,90.46097708622088,72.61845386533666,91.68487659679052,72.98105682951147
14,0.001,8,0.005,4,4,1,6,1e-07,91.34512025793515,73.71571072319202,92.65762921509399,74.97507477567298
14,0.002,8,0.005,2,3,1,6,1e-07,90.26778964689618,72.21945137157107,91.0742644245554,72.68195413758724
14,0.002,8,0.005,2,4,1,6,1e-07,90.04728412064303,72.51870324189527,91.78559740218437,73.18045862412762
14,0.002,8,0.005,4,3,1,6,1e-07,90.40806112857608,73.56608478802993,91.93611739746564,74.57627118644068
14,0.002,8,0.005,4,4,1,6,1e-07,91.0550748198605,71.77057356608478,92.38740178004112,74.57627118644068
15,0.001,8,0.005,2,3,1,6,1e-07,90.75475922387001,73.81546134663341,91.62898113528382,74.47657028913261
15,0.001,8,0.005,2,4,1,6,1e-07,90.19655441424192,73.36658354114714,91.37024635891048,75.47357926221336
15,0.001,8,0.005,4,3,1,6,1e-07,90.32083729354594,72.81795511221945,91.42575808322188,73.08075772681954
15,0.001,8,0.005,4,4,1,6,1e-07,90.65357707664916,73.91521197007481,92.06001381121513,74.17746759720838
15,0.002,8,0.005,2,3,1,6,1e-07,90.87865376577294,72.41895261845387,91.33503712391774,74.8753738783649
15,0.002,8,0.005,2,4,1,6,1e-07,90.71051494903335,72.06982543640898,91.7049552398229,74.47657028913261
15,0.002,8,0.005,4,3,1,6,1e-07,90.34671272612592,73.71571072319202,91.76333178185544,74.0777666999003
15,0.002,8,0.005,4,4,1,6,1e-07,90.10084851772581,73.16708229426435,91.60330234915769,72.78165503489531
16,0.001,8,0.005,2,3,1,6,1e-07,90.22183362098701,72.16957605985037,92.27280579769399,75.07477567298105
16,0.001,8,0.005,2,4,1,6,1e-07,90.68414198277182,74.713216957606,91.706709897568,72.88135593220339
16,0.001,8,0.005,4,3,1,6,1e-07,90.35315638475876,72.31920199501248,91.23415074505289,72.78165503489531
16,0.001,8,0.005,4,4,1,6,1e-07,90.1795504039189,72.56857855361596,91.73734610306326,73.97806580259221
16,0.002,8,0.005,2,3,1,6,1e-07,89.69455905236475,72.36907730673316,91.41228219654215,73.47956131605184
16,0.002,8,0.005,2,4,1,6,1e-07,90.3626054129824,72.61845386533666,91.35973459390243,75.77268195413758
16,0.002,8,0.005,4,3,1,6,1e-07,89.47225242442555,72.61845386533666,91.154439480997,73.57926221335993
16,0.002,8,0.005,4,4,1,6,1e-07,90.2626113511498,73.46633416458853,92.30708195224011,74.47657028913261
17,0.001,8,0.005,2,3,1,6,1e-07,90.16417841965006,71.12219451371571,91.81310703335956,73.97806580259221
17,0.001,8,0.005,2,4,1,6,1e-07,90.08919331466333,71.571072319202,89.94547246277683,72.28315054835494
17,0.001,8,0.005,4,3,1,6,1e-07,90.94138395383868,73.51620947630923,91.93903406378567,75.3738783649053
17,0.001,8,0.005,4,4,1,6,1e-07,90.44095054374553,72.31920199501248,91.26229494906613,74.47657028913261
17,0.002,8,0.005,2,3,1,6,1e-07,90.81923882424304,73.76558603491273,90.52020473767507,74.0777666999003
17,0.002,8,0.005,2,4,1,6,1e-07,90.2505955764185,72.46882793017456,92.08322164149749,74.27716849451646
17,0.002,8,0.005,4,3,1,6,1e-07,89.14565781797906,70.62344139650872,91.32221351314199,73.97806580259221
17,0.002,8,0.005,4,4,1,6,1e-07,90.20391270876027,72.11970074812967,91.70222193634154,75.47357926221336
18,0.001,8,0.005,2,3,1,6,1e-07,90.29602706855358,72.41895261845387,90.7597202700641,73.47956131605184
18,0.001,8,0.005,2,4,1,6,1e-07,90.45367058535084,73.26683291770574,91.85062903141305,74.0777666999003
18,0.001,8,0.005,4,3,1,6,1e-07,89.78990577430281,73.11720698254364,91.62920015963817,73.47956131605184
18,0.001,8,0.005,4,4,1,6,1e-07,89.98854537339122,73.06733167082294,91.75329970544274,73.08075772681954
18,0.002,8,0.005,2,3,1,6,1e-07,90.37834234455318,72.91770573566085,90.8846913927461,71.78464606181456
18,0.002,8,0.005,2,4,1,6,1e-07,90.0456710899028,73.71571072319202,92.16105957079124,73.77866400797608
18,0.002,8,0.005,4,3,1,6,1e-07,90.41834732060457,74.06483790523691,91.75299390204734,74.77567298105683
18,0.002,8,0.005,4,4,1,6,1e-07,90.20882153556047,73.31670822942642,91.37744419157431,73.47956131605184
19,0.001,8,0.005,2,3,1,6,1e-07,90.78317430293814,73.56608478802993,91.17697712654594,74.97507477567298
19,0.001,8,0.005,2,4,1,6,1e-07,89.62215340273826,73.01745635910224,91.04938017309122,73.77866400797608
19,0.001,8,0.005,4,3,1,6,1e-07,90.8886869923189,73.56608478802993,91.70513955861962,73.77866400797608
