idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,0.1,4,1,6,4,1e-07,91.56059909797956,75.41147132169576,91.559715650251,74.57627118644068
1,0.0025,48,0.1,4,1,6,4,1e-07,91.30266620331328,74.2643391521197,92.06025976681366,75.17447657028913
2,0.0025,48,0.1,4,1,6,4,1e-07,90.93852894104317,73.66583541147132,92.02299577025241,74.8753738783649
3,0.0025,48,0.1,4,1,6,4,1e-07,90.71281138890119,73.31670822942642,91.5436864012581,73.18045862412762
4,0.0025,48,0.1,4,1,6,4,1e-07,91.45036887933668,75.11221945137157,91.95956378154742,74.17746759720838
5,0.0025,48,0.1,4,1,6,4,1e-07,91.16569137755056,72.31920199501248,91.92249623560159,73.18045862412762
6,0.0025,48,0.1,4,1,6,4,1e-07,90.81473168101736,74.3142144638404,92.06215592832775,74.67597208374876
7,0.0025,48,0.1,4,1,6,4,1e-07,90.60117826438761,74.3142144638404,91.61480958955106,73.77866400797608
8,0.0025,48,0.1,4,1,6,4,1e-07,91.03812055051802,72.96758104738154,91.93228109588058,73.97806580259221
9,0.0025,48,0.1,4,1,6,4,1e-07,90.91813703038282,73.51620947630923,91.32430462986109,73.87836490528414
