idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.001,16,0.15,4,4,32,4,1e-07,89.84833407596108,72.81795511221945,90.35159154983987,72.98105682951147
0,0.001,16,0.15,4,4,32,8,1e-07,89.10195904248482,70.97256857855362,90.6739232977296,72.68195413758724
0,0.001,16,0.15,4,4,64,4,1e-07,90.29672919049571,71.87032418952619,91.13688194967247,73.08075772681954
0,0.001,16,0.15,4,4,64,8,1e-07,88.13657391176109,70.47381546134663,90.47766875326914,72.38285144566301
0,0.001,16,0.2,4,4,32,4,1e-07,90.23191388721024,71.82044887780549,91.47061097748731,73.37986041874377
0,0.001,16,0.2,4,4,32,8,1e-07,87.87643058852568,67.73067331670823,90.12603901046367,69.19242273180458
0,0.001,16,0.2,4,4,64,4,1e-07,89.92194606491779,71.3216957605985,90.24629810042786,72.68195413758724
0,0.001,16,0.2,4,4,64,8,1e-07,88.61717729715278,69.82543640897757,90.42337752426587,71.28614157527417
0,0.001,16,0.25,4,4,32,4,1e-07,90.1033298984858,71.82044887780549,90.91317927223834,71.5852442671984
0,0.001,16,0.25,4,4,32,8,1e-07,88.31273349071589,70.57356608478803,89.69076101704158,71.38584247258225
0,0.001,16,0.25,4,4,64,4,1e-07,90.10093374431737,69.42643391521197,91.37759982017617,70.48853439680957
0,0.001,16,0.25,4,4,64,8,1e-07,88.21807206507222,68.9775561097257,89.55178286855882,69.79062811565304
0,0.002,16,0.15,4,4,32,4,1e-07,90.45725278265385,70.87281795511223,91.35832622754754,74.0777666999003
0,0.002,16,0.15,4,4,32,8,1e-07,88.54705792578297,69.92518703241896,89.85348817953593,72.28315054835494
0,0.002,16,0.15,4,4,64,4,1e-07,90.93700865585376,72.21945137157107,92.01524158445329,74.77567298105683
0,0.002,16,0.15,4,4,64,8,1e-07,88.53635689841985,70.32418952618454,90.5465532632513,72.78165503489531
0,0.002,16,0.2,4,4,32,4,1e-07,90.3138545192639,73.01745635910224,91.03086435464462,74.67597208374876
0,0.002,16,0.2,4,4,32,8,1e-07,89.36652435164609,71.17206982543641,90.59177477410053,71.9840478564307
0,0.002,16,0.2,4,4,64,4,1e-07,90.18918959258524,71.17206982543641,91.35133704249381,73.47956131605184
0,0.002,16,0.2,4,4,64,8,1e-07,89.06759445880039,70.72319201995012,90.14352173073512,71.78464606181456
0,0.002,16,0.25,4,4,32,4,1e-07,90.16895184448987,70.37406483790524,91.51326094600144,73.97806580259221
0,0.002,16,0.25,4,4,32,8,1e-07,88.17351722506875,67.63092269326684,90.56473257576612,70.48853439680957
0,0.002,16,0.25,4,4,64,4,1e-07,89.87907128676117,70.07481296758104,91.52366490790065,70.98703888334995
0,0.002,16,0.25,4,4,64,8,1e-07,89.39128116127549,70.47381546134663,90.28901765503167,72.48255234297109
1,0.001,16,0.15,4,4,32,4,1e-07,90.61245251350213,71.37157107231921,91.14385725218803,74.37686939182453
1,0.001,16,0.15,4,4,32,8,1e-07,88.18640848992658,69.67581047381546,90.04565280995331,71.1864406779661
1,0.001,16,0.15,4,4,64,4,1e-07,89.94432466025918,70.42394014962593,91.22637315249858,73.28015952143569
1,0.001,16,0.15,4,4,64,8,1e-07,89.12490040199614,69.62593516209476,90.28949391917813,70.68793619142572
1,0.001,16,0.2,4,4,32,4,1e-07,90.10109855015781,70.27431421446384,91.59234461049817,69.79062811565304
1,0.001,16,0.2,4,4,32,8,1e-07,88.9651087160982,69.42643391521197,90.01557576134365,72.18344965104686
1,0.001,16,0.2,4,4,64,4,1e-07,89.78161366935637,70.62344139650872,90.49266783919984,73.37986041874377
1,0.001,16,0.2,4,4,64,8,1e-07,89.14018531782287,71.47132169576061,90.49866892816732,71.38584247258225
1,0.001,16,0.25,4,4,32,4,1e-07,89.25743579436556,71.2718204488778,90.79714906401641,70.68793619142572
1,0.001,16,0.25,4,4,32,8,1e-07,88.72046373559427,69.07730673316709,90.47342572450879,70.88733798604187
1,0.001,16,0.25,4,4,64,4,1e-07,90.06774525467495,71.2718204488778,90.5883620725987,71.5852442671984
1,0.001,16,0.25,4,4,64,8,1e-07,88.61187372512012,70.67331670822942,89.57438279701802,69.89032901296112
1,0.002,16,0.15,4,4,32,4,1e-07,90.43965322416952,71.37157107231921,91.116507115222,72.18344965104686
1,0.002,16,0.15,4,4,32,8,1e-07,88.32897473009757,70.12468827930175,90.59957867333979,72.28315054835494
1,0.002,16,0.15,4,4,64,4,1e-07,90.73529357012603,73.76558603491273,92.02085901693748,73.678963110668
1,0.002,16,0.15,4,4,64,8,1e-07,87.70870194556218,70.62344139650872,89.98781451907716,71.5852442671984
1,0.002,16,0.2,4,4,32,4,1e-07,90.86731514756416,71.6209476309227,91.40134929319737,74.8753738783649
1,0.002,16,0.2,4,4,32,8,1e-07,88.70303242676597,68.7780548628429,90.48313834928024,71.28614157527417
1,0.002,16,0.2,4,4,64,4,1e-07,90.4223906910944,71.92019950124688,91.70835492769604,73.87836490528414
1,0.002,16,0.2,4,4,64,8,1e-07,89.22126325867245,70.17456359102245,90.37824213922164,71.1864406779661
1,0.002,16,0.25,4,4,32,4,1e-07,90.36478611354636,71.37157107231921,91.30526899682665,71.68494516450647
1,0.002,16,0.25,4,4,32,8,1e-07,89.11734743893932,71.2219451371571,90.48937591699556,72.08374875373879
1,0.002,16,0.25,4,4,64,4,1e-07,90.27603005247941,70.77306733167083,91.51724070888577,71.1864406779661
1,0.002,16,0.25,4,4,64,8,1e-07,89.70836399908605,69.77556109725685,90.23363552038538,71.08673978065802
2,0.001,16,0.15,4,4,32,4,1e-07,88.47906304808548,71.12219451371571,90.82921576267582,73.37986041874377
2,0.001,16,0.15,4,4,32,8,1e-07,89.09023032156817,70.02493765586036,90.94124963252114,72.78165503489531
2,0.001,16,0.15,4,4,64,4,1e-07,90.85113192138395,72.81795511221945,91.61526108261044,74.17746759720838
2,0.001,16,0.15,4,4,64,8,1e-07,89.04558983260452,70.02493765586036,90.29287865510457,72.98105682951147
2,0.001,16,0.2,4,4,32,4,1e-07,90.39848603384047,71.4214463840399,90.87632591326835,73.08075772681954
2,0.001,16,0.2,4,4,32,8,1e-07,88.18728119783118,70.17456359102245,90.02425498191371,72.78165503489531
2,0.001,16,0.2,4,4,64,4,1e-07,90.74545714841047,72.31920199501248,91.78148903016128,74.67597208374876
2,0.001,16,0.2,4,4,64,8,1e-07,87.67913705624281,66.78304239401496,89.95753831555217,68.29511465603191
2,0.001,16,0.25,4,4,32,4,1e-07,90.45827056193568,72.06982543640898,90.95894082113547,72.38285144566301
2,0.001,16,0.25,4,4,32,8,1e-07,88.45179317151073,69.62593516209476,89.50739446514493,69.99002991026919
2,0.001,16,0.25,4,4,64,4,1e-07,89.5850399617981,71.2718204488778,90.62229991731799,71.88434695912264
2,0.001,16,0.25,4,4,64,8,1e-07,88.38500842709234,69.37655860349126,89.85150980331298,71.68494516450647
2,0.002,16,0.15,4,4,32,4,1e-07,90.25787805148937,73.41645885286783,91.43412233924194,75.3738783649053
2,0.002,16,0.15,4,4,32,8,1e-07,89.3222955933809,70.62344139650872,90.66332868441106,71.38584247258225
2,0.002,16,0.15,4,4,64,4,1e-07,89.39942219093562,69.97506234413964,91.39433020167169,72.08374875373879
2,0.002,16,0.15,4,4,64,8,1e-07,89.39914736153523,71.02244389027432,90.61567829842784,71.5852442671984
2,0.002,16,0.2,4,4,32,4,1e-07,90.79850929447075,71.7206982543641,91.56796594986574,72.88135593220339
2,0.002,16,0.2,4,4,32,8,1e-07,88.32939629193469,70.82294264339151,90.23804798251462,72.08374875373879
2,0.002,16,0.2,4,4,64,4,1e-07,90.76567795438507,71.37157107231921,90.35190329727276,71.38584247258225
2,0.002,16,0.2,4,4,64,8,1e-07,89.64919849940229,71.2718204488778,90.58295054653536,71.88434695912264
2,0.002,16,0.25,4,4,32,4,1e-07,90.30876348065767,70.82294264339151,91.60383458850797,73.678963110668
2,0.002,16,0.25,4,4,32,8,1e-07,89.06715195480689,69.57605985037407,89.99988595156204,71.9840478564307
2,0.002,16,0.25,4,4,64,4,1e-07,90.13625886483796,70.32418952618454,91.34756971791313,70.38883349950149
2,0.002,16,0.25,4,4,64,8,1e-07,88.77228480167437,68.9775561097257,90.09125856516785,69.89032901296112
3,0.001,16,0.15,4,4,32,4,1e-07,90.17279474019526,71.82044887780549,91.52200589289376,73.28015952143569
3,0.001,16,0.15,4,4,32,8,1e-07,89.63729871387746,70.77306733167083,90.51586645239463,72.78165503489531
3,0.001,16,0.15,4,4,64,4,1e-07,89.1836187479945,71.4214463840399,90.83072438269339,73.18045862412762
3,0.001,16,0.15,4,4,64,8,1e-07,89.00377892166482,69.22693266832918,90.49558801221647,71.5852442671984
3,0.001,16,0.2,4,4,32,4,1e-07,89.68397786485598,71.4214463840399,90.10920487466689,73.678963110668
3,0.001,16,0.2,4,4,32,8,1e-07,88.055470882463,69.92518703241896,89.48755922893183,72.48255234297109
3,0.001,16,0.2,4,4,64,4,1e-07,90.5954151627982,71.07231920199501,90.99173401576279,73.47956131605184
3,0.001,16,0.2,4,4,64,8,1e-07,89.01163056465359,68.428927680798,89.99917308504443,69.69092721834497
3,0.001,16,0.25,4,4,32,4,1e-07,89.68900517444942,68.428927680798,91.64931285528189,70.48853439680957
3,0.001,16,0.25,4,4,32,8,1e-07,88.4717417257741,69.37655860349126,89.43395990365865,69.79062811565304
3,0.001,16,0.25,4,4,64,4,1e-07,90.47693524652465,71.2718204488778,91.30141160299641,73.47956131605184
3,0.001,16,0.25,4,4,64,8,1e-07,88.64382380254551,68.22942643391521,89.8006280907596,68.6939182452642
3,0.002,16,0.15,4,4,32,4,1e-07,90.66089048906905,72.61845386533666,91.50085895764717,73.77866400797608
3,0.002,16,0.15,4,4,32,8,1e-07,88.79292080952318,71.52119700748129,89.94694513782191,73.28015952143569
3,0.002,16,0.15,4,4,64,4,1e-07,90.50320542163772,72.51870324189527,90.91992756579603,75.77268195413758
3,0.002,16,0.15,4,4,64,8,1e-07,88.4725016027362,70.57356608478803,90.93371682208956,71.9840478564307
3,0.002,16,0.2,4,4,32,4,1e-07,88.81841710110223,69.87531172069825,91.175557671177,72.08374875373879
3,0.002,16,0.2,4,4,32,8,1e-07,88.32289321908284,70.82294264339151,89.83376344554983,72.58225324027916
3,0.002,16,0.2,4,4,64,4,1e-07,90.74336146139747,72.71820448877806,92.07998114556105,73.37986041874377
3,0.002,16,0.2,4,4,64,8,1e-07,88.9678905791141,69.72568578553616,90.50742895502675,71.5852442671984
3,0.002,16,0.25,4,4,32,4,1e-07,89.54080413309136,70.67331670822942,91.09385525302865,73.37986041874377
3,0.002,16,0.25,4,4,32,8,1e-07,88.8534611751299,71.02244389027432,90.42917994788262,72.78165503489531
