idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.002,16,0.25,4,4,32,4,1e-07,90.71336216840434,72.71820448877806,91.56466907280377,73.87836490528414
0,0.002,16,0.25,4,6,32,4,1e-07,90.12883368561569,71.82044887780549,91.18778281240509,73.77866400797608
0,0.002,16,0.3,4,4,32,4,1e-07,90.06929074608571,69.82543640897757,90.53412863587724,73.28015952143569
0,0.002,16,0.3,4,6,32,4,1e-07,90.63547991944715,72.56857855361596,91.54334939057776,74.17746759720838
1,0.002,16,0.25,4,4,32,4,1e-07,90.87380416666063,71.17206982543641,91.22868252474548,71.08673978065802
1,0.002,16,0.25,4,6,32,4,1e-07,89.52958768507867,71.52119700748129,90.93861445708689,70.68793619142572
1,0.002,16,0.3,4,4,32,4,1e-07,90.04791799436441,69.37655860349126,90.86533197065187,69.79062811565304
1,0.002,16,0.3,4,6,32,4,1e-07,90.86777763391125,72.96758104738154,91.08854336847713,71.78464606181456
2,0.002,16,0.25,4,4,32,4,1e-07,91.45551718545025,73.21695760598503,91.34570915433528,75.67298105682951
2,0.002,16,0.25,4,6,32,4,1e-07,90.52733302189327,72.16957605985037,91.10404467435235,75.57328015952145
2,0.002,16,0.3,4,4,32,4,1e-07,89.75740434197422,70.77306733167083,91.00819240193316,72.38285144566301
2,0.002,16,0.3,4,6,32,4,1e-07,90.25161230852022,70.67331670822942,90.95998455506417,73.678963110668
3,0.002,16,0.25,4,4,32,4,1e-07,90.38065586895466,71.2219451371571,91.51387251436473,72.48255234297109
3,0.002,16,0.25,4,6,32,4,1e-07,90.61680923507177,73.16708229426435,91.67042011104697,76.27118644067797
3,0.002,16,0.3,4,4,32,4,1e-07,90.60458397211131,71.52119700748129,91.36278411500271,74.0777666999003
3,0.002,16,0.3,4,6,32,4,1e-07,90.91474940070509,72.31920199501248,91.09051750941653,72.28315054835494
4,0.002,16,0.25,4,4,32,4,1e-07,90.01045553494002,72.41895261845387,91.38814861794366,73.57926221335993
4,0.002,16,0.25,4,6,32,4,1e-07,90.21619684883456,72.61845386533666,91.2670147028261,73.37986041874377
4,0.002,16,0.3,4,4,32,4,1e-07,90.49906142200295,72.81795511221945,91.08822839743958,73.18045862412762
4,0.002,16,0.3,4,6,32,4,1e-07,90.53768229311821,70.72319201995012,91.36342420484522,74.37686939182453
5,0.002,16,0.25,4,4,32,4,1e-07,90.60080703086876,73.41645885286783,91.14469066925787,73.57926221335993
5,0.002,16,0.25,4,6,32,4,1e-07,90.60055820485412,73.16708229426435,90.90788755574063,73.97806580259221
5,0.002,16,0.3,4,4,32,4,1e-07,89.66588324082784,70.92269326683291,90.94438833957815,71.28614157527417
5,0.002,16,0.3,4,6,32,4,1e-07,90.96070117833565,72.16957605985037,90.93166428963553,73.08075772681954
6,0.002,16,0.25,4,4,32,4,1e-07,90.22132187364048,69.82543640897757,91.24333356589834,70.98703888334995
6,0.002,16,0.25,4,6,32,4,1e-07,90.09645450670061,72.36907730673316,91.50581700023864,74.47657028913261
6,0.002,16,0.3,4,4,32,4,1e-07,89.96675562563856,70.42394014962593,91.46384650358313,71.38584247258225
6,0.002,16,0.3,4,6,32,4,1e-07,90.44290325292071,70.77306733167083,91.07681464732326,74.27716849451646
7,0.002,16,0.25,4,4,32,4,1e-07,90.04028720706827,71.02244389027432,91.08080998888467,71.9840478564307
7,0.002,16,0.25,4,6,32,4,1e-07,91.44973187465216,74.3142144638404,91.70000715819873,73.37986041874377
7,0.002,16,0.3,4,4,32,4,1e-07,90.22006811839763,72.26932668329177,91.23404385843658,74.67597208374876
7,0.002,16,0.3,4,6,32,4,1e-07,90.55989484504082,69.82543640897757,91.56760851096729,72.48255234297109
8,0.002,16,0.25,4,4,32,4,1e-07,90.7648057642113,72.46882793017456,91.59565042140034,73.47956131605184
8,0.002,16,0.25,4,6,32,4,1e-07,90.46842049630787,72.21945137157107,91.52402855158303,75.47357926221336
8,0.002,16,0.3,4,4,32,4,1e-07,90.11173883488314,70.97256857855362,90.98642333903383,71.9840478564307
8,0.002,16,0.3,4,6,32,4,1e-07,90.49371048560904,71.17206982543641,91.58385030277633,71.1864406779661
9,0.002,16,0.25,4,4,32,4,1e-07,91.10885781843734,72.81795511221945,91.66248712368534,74.47657028913261
