idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.1815464417664,73.41645885286783,91.97739016552404,75.57328015952145
0,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.061645349955,72.61845386533666,91.71978226929134,74.27716849451646
1,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.2937572450516,73.06733167082294,92.12354699602167,73.47956131605184
1,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.22421151057054,74.1645885286783,91.70181029053143,74.77567298105683
2,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.47939371820416,73.76558603491273,91.74078965906119,73.87836490528414
2,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.725162837197,73.61596009975062,91.95443588446388,72.88135593220339
3,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.53913914994085,74.0149625935162,92.20011552639653,75.17447657028913
3,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.34279895620062,74.61346633416458,91.99303241200631,75.77268195413758
4,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.37909881671172,73.06733167082294,91.74970037090502,72.98105682951147
4,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.66394282658237,74.06483790523691,92.12653516405054,75.57328015952145
5,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.44696509418567,72.26932668329177,92.05596411973448,73.47956131605184
5,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.46649535253825,74.214463840399,92.4351452538034,74.77567298105683
6,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.16085207430478,72.06982543640898,91.77349757421143,73.77866400797608
6,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.54154083958676,74.46384039900249,92.00026821298401,75.07477567298105
7,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.13053238999174,74.11471321695761,91.31756474013586,73.77866400797608
7,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.19019088388058,73.01745635910224,91.54135990289303,73.678963110668
8,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.56705859990775,72.91770573566085,91.72975824157777,72.78165503489531
8,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.61040519944551,72.66832917705736,92.24654091079448,73.08075772681954
9,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.50015971372943,73.01745635910224,91.7398245708755,72.88135593220339
9,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.28925689082081,73.66583541147132,91.84729126051549,74.8753738783649
10,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.40084955753261,73.36658354114714,92.32023144787436,74.37686939182453
10,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.8272047273108,74.61346633416458,91.70203351973034,73.97806580259221
11,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.31658760243148,74.61346633416458,91.83587812183018,76.47058823529412
11,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.12078591011048,74.61346633416458,91.99340332536575,73.37986041874377
12,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.39258203122506,74.1645885286783,91.95539464374446,73.28015952143569
12,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.66379174049116,72.96758104738154,92.78256910697034,74.97507477567298
