idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,91.00458406801575,73.81546134663341,91.78721679013286,72.98105682951147
0,0.003,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,91.42436326099252,72.91770573566085,92.0350101170925,74.47657028913261
1,0.003,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,91.64847589890579,74.713216957606,92.43875698981171,74.27716849451646
1,0.003,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,91.30015872443893,73.56608478802993,91.93867147512869,74.57627118644068
2,0.003,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,91.33994251203109,73.36658354114714,92.47096109579593,74.77567298105683
2,0.003,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,91.33853905541278,74.66334164588528,92.13918858923259,75.77268195413758
3,0.003,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,91.68406352868138,73.31670822942642,92.29373848865724,74.0777666999003
3,0.003,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,91.45476730937695,73.31670822942642,92.28903297816134,73.97806580259221
4,0.003,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,91.36447279943027,73.81546134663341,92.14248272083971,74.8753738783649
4,0.003,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,91.11007984638097,73.86533665835412,91.6806037740712,74.67597208374876
5,0.003,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,91.3851201127597,73.16708229426435,92.22746843036839,74.47657028913261
5,0.003,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,91.21184683880065,73.16708229426435,91.87163209247583,74.27716849451646
6,0.003,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,91.6747028965671,73.86533665835412,92.02617414881892,75.2741774675972
6,0.003,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,91.44755487972793,73.91521197007481,92.17018981921056,74.17746759720838
7,0.003,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,91.81349003539776,74.06483790523691,92.6719914759732,75.2741774675972
7,0.003,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,91.68417209473321,74.81296758104739,92.10160884783572,76.47058823529412
