idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.41213184552944,73.06733167082294,92.31652711633231,74.67597208374876
0,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.33248448554943,73.06733167082294,91.94507440780608,74.67597208374876
1,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.64252468108187,73.76558603491273,92.26696840031734,74.97507477567298
1,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.78816958398082,74.214463840399,92.53613400114557,75.57328015952145
2,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.85770103884211,73.76558603491273,92.16544430762943,75.2741774675972
2,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.44953648326587,73.96508728179552,92.06848500292463,73.87836490528414
3,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.55583612259994,74.56359102244389,91.94180124538681,73.57926221335993
3,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.11414081020918,73.16708229426435,91.30155624258401,74.47657028913261
4,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.15636041570194,73.46633416458853,92.17632379559484,74.37686939182453
4,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.72533255473797,73.11720698254364,92.25568681110198,73.97806580259221
5,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.50817994464032,72.66832917705736,91.93865908493827,73.47956131605184
5,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.51243201347577,74.11471321695761,92.15766426777617,75.77268195413758
6,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.5857474363613,73.06733167082294,92.3149843331818,75.3738783649053
6,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.42224553797406,74.86284289276807,92.46398634133504,75.47357926221336
7,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.16367636731464,72.51870324189527,92.06365154702198,73.77866400797608
