idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.29245102170665,72.41895261845387,91.82521102485217,73.47956131605184
0,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.4052188750414,73.66583541147132,92.31042909175446,73.77866400797608
1,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.28605833334389,72.76807980049875,91.92755876207592,75.3738783649053
1,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.48721760632802,72.41895261845387,92.21199884235675,71.9840478564307
2,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.81669595959512,74.51371571072319,92.48230374110337,73.87836490528414
2,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.65917324014326,73.41645885286783,92.49174673505287,75.2741774675972
3,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.17231081075194,73.76558603491273,92.15013736440748,74.77567298105683
3,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.45521529500172,73.71571072319202,91.92424220556272,74.37686939182453
4,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.79503028355536,74.3640897755611,92.29298885224463,73.77866400797608
4,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.69693864931229,74.46384039900249,91.97987883850008,74.97507477567298
5,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.74306425787489,73.36658354114714,91.79131667483628,75.17447657028913
5,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.55608446486106,73.91521197007481,92.3084528185479,74.17746759720838
6,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.2550893197186,73.71571072319202,91.880232307047,74.17746759720838
6,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.38578494328972,73.61596009975062,91.73701728836333,74.0777666999003
7,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.78057526988061,73.36658354114714,91.62458372035073,74.17746759720838
7,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.50019040889504,73.91521197007481,92.13686074396625,75.3738783649053
8,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.34999726192218,73.81546134663341,92.20521603645044,74.77567298105683
8,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.79937994285545,73.26683291770574,92.06418259815675,74.57627118644068
9,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.33232761690111,73.11720698254364,92.05846258034474,75.2741774675972
9,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.19101141936656,73.66583541147132,91.88540703516152,74.0777666999003
10,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,90.90716146051741,72.66832917705736,92.04705107760715,74.0777666999003
10,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.44431922663341,72.66832917705736,92.02142928114492,76.27118644067797
11,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.46163951614358,72.86783042394015,91.94642673214551,73.57926221335993
11,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.35531320045915,73.46633416458853,92.243072524191,75.47357926221336
12,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.5661421295885,72.96758104738154,92.19380770101672,74.47657028913261
12,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.36437651082467,73.51620947630923,92.1210340812562,74.27716849451646
13,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.60579042743315,73.91521197007481,92.24097865125955,74.0777666999003
13,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.69861977064517,74.4139650872818,92.02679113375275,73.678963110668
14,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.66879956084557,72.51870324189527,92.08325626036023,73.47956131605184
14,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.14060741562872,72.96758104738154,92.1985362916551,73.77866400797608
15,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.71907011418062,72.91770573566085,91.80793090078274,72.28315054835494
15,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.36196149848092,74.0149625935162,92.1893625013114,74.57627118644068
16,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.77698866929748,72.86783042394015,92.05675288349853,74.27716849451646
16,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.41716815625713,72.91770573566085,91.85316295769668,73.97806580259221
17,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.53619595832389,74.3640897755611,92.37035910462885,75.17447657028913
17,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.15071010978923,74.0149625935162,92.0532488150366,74.57627118644068
18,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.37151604834662,72.41895261845387,92.0960478065069,73.37986041874377
18,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.66263264383406,73.81546134663341,91.97311978608072,73.77866400797608
19,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,False,penny,91.25460854438285,73.11720698254364,91.94392344376732,74.57627118644068
19,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,False,penny,91.33574241321742,73.26683291770574,92.11398672117504,74.57627118644068
