idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,strong,mlp_only_quant,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,True,91.60644965175678,74.56359102244389,92.70273297561765,74.27716849451646
1,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,True,92.27237547951795,75.86034912718205,92.8438363332809,75.47357926221336
2,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,True,91.51261197406798,74.91271820448878,92.58684856972172,75.87238285144566
3,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,True,91.0042768008598,73.16708229426435,91.92725612554248,73.77866400797608
4,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,True,91.70551373169162,73.76558603491273,92.5535802355025,73.37986041874377
5,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,True,91.34924243896226,73.91521197007481,92.39030771980887,73.18045862412762
6,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,True,91.59296022216736,74.2643391521197,92.56559325145689,75.07477567298105
7,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,True,91.17570314060765,74.06483790523691,92.72711198784917,75.07477567298105
8,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,True,91.74617847587693,75.41147132169576,93.24362589143115,75.87238285144566
9,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,True,91.53472948841721,73.91521197007481,92.48381092276581,74.0777666999003
