idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,strong,mlp_only_quant,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,False,91.5511969717946,73.46633416458853,92.53408649379688,74.67597208374876
1,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,False,91.52728850747741,73.51620947630923,92.42868582494287,74.77567298105683
2,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,False,91.68420811435448,75.31172069825436,93.00782049747521,74.97507477567298
3,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,False,91.51913125765205,72.91770573566085,92.49641975779922,73.57926221335993
4,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,False,91.7594064134413,74.96259351620948,92.62481236256693,74.8753738783649
5,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,False,91.51234755693642,73.91521197007481,92.5870139212096,74.77567298105683
6,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,False,91.42773212643014,74.3142144638404,92.23485798574723,73.97806580259221
7,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,False,92.01730408442693,75.66084788029926,93.0256607366786,75.67298105682951
8,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,False,91.56895780795679,74.61346633416458,92.69744349568134,75.07477567298105
9,0.003,48,0.205,4,2,3,4,1e-07,True,False,False,False,92.13366323808737,75.16209476309227,93.25729305375022,74.8753738783649
