idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,1,3,4,1e-07,91.06117410632287,73.51620947630923,91.892474658873,74.57627118644068
0,0.003,48,0.225,4,1,6,4,1e-07,91.42708034796959,74.2643391521197,92.59994054440155,74.8753738783649
0,0.003,48,0.225,4,2,3,4,1e-07,91.56567678884092,74.46384039900249,92.43369841512177,75.17447657028913
0,0.003,48,0.225,4,2,6,4,1e-07,90.95796603500209,73.96508728179552,92.22456781773242,74.0777666999003
1,0.003,48,0.225,4,1,3,4,1e-07,91.06906982515355,73.86533665835412,91.68615306196205,73.47956131605184
1,0.003,48,0.225,4,1,6,4,1e-07,90.98717889311881,74.214463840399,91.80500906806974,74.0777666999003
1,0.003,48,0.225,4,2,3,4,1e-07,91.25306631950582,74.86284289276807,92.19349379328783,74.57627118644068
1,0.003,48,0.225,4,2,6,4,1e-07,91.40403008203243,74.66334164588528,92.35481751175611,74.97507477567298
2,0.003,48,0.225,4,1,3,4,1e-07,90.92717113383698,72.66832917705736,91.84754507212665,74.37686939182453
2,0.003,48,0.225,4,1,6,4,1e-07,91.00261446669585,73.01745635910224,91.34070668116631,75.17447657028913
2,0.003,48,0.225,4,2,3,4,1e-07,91.6132990621252,74.46384039900249,92.62651484467278,75.97208374875373
2,0.003,48,0.225,4,2,6,4,1e-07,91.41036476568416,73.91521197007481,92.19087904666596,73.678963110668
