idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,1,3,4,1e-07,91.44787764820438,73.31670822942642,92.57575471063517,74.77567298105683
0,0.003,48,0.225,4,1,6,4,1e-07,91.43043495476533,73.21695760598503,92.17223027796892,74.67597208374876
0,0.003,48,0.225,4,2,3,4,1e-07,92.15483727495455,75.86034912718205,93.05397151675328,75.67298105682951
0,0.003,48,0.225,4,2,6,4,1e-07,91.30985745681211,73.81546134663341,92.01072363705588,74.37686939182453
1,0.003,48,0.225,4,1,3,4,1e-07,91.04995877100404,73.46633416458853,91.59344051795239,73.47956131605184
1,0.003,48,0.225,4,1,6,4,1e-07,91.08596674958804,72.11970074812967,92.3106718525764,73.97806580259221
1,0.003,48,0.225,4,2,3,4,1e-07,91.74219775027703,75.36159600997506,92.56564327185392,74.17746759720838
1,0.003,48,0.225,4,2,6,4,1e-07,91.50647301399498,74.61346633416458,92.62918830730649,74.0777666999003
2,0.003,48,0.225,4,1,3,4,1e-07,91.06663918634229,73.51620947630923,92.2642578392429,74.97507477567298
2,0.003,48,0.225,4,1,6,4,1e-07,91.37737073606978,73.16708229426435,92.54913060697051,75.47357926221336
2,0.003,48,0.225,4,2,3,4,1e-07,92.36801436322051,74.86284289276807,93.44611062120872,75.87238285144566
2,0.003,48,0.225,4,2,6,4,1e-07,91.5834016878361,72.76807980049875,93.16680113182339,72.68195413758724
