idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,1,3,4,1e-07,90.87798062912582,73.26683291770574,91.68374144379561,74.27716849451646
0,0.003,48,0.225,4,1,6,4,1e-07,91.04936104729347,73.21695760598503,91.8887032086905,74.0777666999003
0,0.003,48,0.225,4,2,3,4,1e-07,91.66358049691048,73.66583541147132,92.06927738126825,74.57627118644068
0,0.003,48,0.225,4,2,6,4,1e-07,92.24281942278694,74.3142144638404,92.49137004027135,74.27716849451646
1,0.003,48,0.225,4,1,3,4,1e-07,90.88796545826207,73.56608478802993,91.66670525635053,73.77866400797608
1,0.003,48,0.225,4,1,6,4,1e-07,91.14456561679249,73.11720698254364,91.62141197063173,74.67597208374876
1,0.003,48,0.225,4,2,3,4,1e-07,91.40821536389824,74.06483790523691,92.4507471577292,75.07477567298105
1,0.003,48,0.225,4,2,6,4,1e-07,91.45311188734615,73.81546134663341,92.27800192967621,73.87836490528414
2,0.003,48,0.225,4,1,3,4,1e-07,91.02859202662233,73.56608478802993,92.07969856902942,74.27716849451646
2,0.003,48,0.225,4,1,6,4,1e-07,90.8303842086019,73.61596009975062,91.55612992162752,74.57627118644068
2,0.003,48,0.225,4,2,3,4,1e-07,91.59096580265042,72.51870324189527,92.44898540651914,72.58225324027916
2,0.003,48,0.225,4,2,6,4,1e-07,91.65065935314837,73.41645885286783,92.01557680345618,73.77866400797608
3,0.003,48,0.225,4,1,3,4,1e-07,91.38794304314294,73.51620947630923,92.31941634779243,74.8753738783649
3,0.003,48,0.225,4,1,6,4,1e-07,91.24797287958202,73.86533665835412,92.33347031650457,74.17746759720838
3,0.003,48,0.225,4,2,3,4,1e-07,91.83398838228973,74.214463840399,92.39426384030794,73.97806580259221
3,0.003,48,0.225,4,2,6,4,1e-07,91.70940249981,73.21695760598503,92.14178852214108,74.57627118644068
4,0.003,48,0.225,4,1,3,4,1e-07,91.41048339729798,73.71571072319202,92.44879140109033,74.8753738783649
4,0.003,48,0.225,4,1,6,4,1e-07,91.60438779200757,73.06733167082294,92.42207324564085,74.37686939182453
4,0.003,48,0.225,4,2,3,4,1e-07,91.4704299742915,70.92269326683291,92.28129821984122,72.88135593220339
4,0.003,48,0.225,4,2,6,4,1e-07,91.42383694524919,74.3640897755611,92.48409398874404,75.67298105682951
5,0.003,48,0.225,4,1,3,4,1e-07,91.12353707921235,73.51620947630923,92.07079550512812,74.77567298105683
5,0.003,48,0.225,4,1,6,4,1e-07,90.8994288767579,73.76558603491273,91.50936373064376,75.3738783649053
5,0.003,48,0.225,4,2,3,4,1e-07,91.50013667281038,73.51620947630923,92.65416089104991,74.37686939182453
5,0.003,48,0.225,4,2,6,4,1e-07,90.72275615735077,72.31920199501248,92.57629917112305,73.18045862412762
6,0.003,48,0.225,4,1,3,4,1e-07,90.99686685566644,73.91521197007481,92.12245077020054,73.97806580259221
6,0.003,48,0.225,4,1,6,4,1e-07,91.25626051591065,73.01745635910224,92.25809267433456,75.2741774675972
6,0.003,48,0.225,4,2,3,4,1e-07,91.38428761673005,73.41645885286783,92.36353762496388,73.87836490528414
6,0.003,48,0.225,4,2,6,4,1e-07,91.84408099896052,74.51371571072319,92.41358038729935,73.97806580259221
7,0.003,48,0.225,4,1,3,4,1e-07,91.18340806078982,73.36658354114714,92.22606117239827,73.97806580259221
7,0.003,48,0.225,4,1,6,4,1e-07,90.41293567669409,71.02244389027432,91.27328763169736,72.58225324027916
7,0.003,48,0.225,4,2,3,4,1e-07,91.58693480373653,73.96508728179552,92.45851432694091,74.67597208374876
7,0.003,48,0.225,4,2,6,4,1e-07,91.54159193837108,72.91770573566085,92.612314332757,74.27716849451646
8,0.003,48,0.225,4,1,3,4,1e-07,90.7931938204957,73.76558603491273,91.66331223965756,75.17447657028913
8,0.003,48,0.225,4,1,6,4,1e-07,90.64523925732148,72.81795511221945,91.72467411465759,73.77866400797608
8,0.003,48,0.225,4,2,3,4,1e-07,92.32159055550443,75.61097256857855,92.4784447099657,74.8753738783649
8,0.003,48,0.225,4,2,6,4,1e-07,91.97128608086919,73.91521197007481,92.40795488900044,72.78165503489531
9,0.003,48,0.225,4,1,3,4,1e-07,90.90679508980666,72.86783042394015,92.07630567999423,74.8753738783649
9,0.003,48,0.225,4,1,6,4,1e-07,90.87462416965197,72.66832917705736,91.77330611551407,72.98105682951147
9,0.003,48,0.225,4,2,3,4,1e-07,92.01019464683165,75.46134663341645,92.7723339582302,75.47357926221336
9,0.003,48,0.225,4,2,6,4,1e-07,91.72908260746058,75.01246882793018,92.46995408735211,76.07178464606181
