idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,1,3,4,1e-07,91.18889896287095,72.41895261845387,92.30254057930829,73.97806580259221
0,0.003,48,0.225,4,1,6,4,1e-07,91.25674546170733,74.4139650872818,92.33057166585414,75.3738783649053
0,0.003,48,0.225,4,2,3,4,1e-07,91.04477894822104,74.0149625935162,92.4032944573973,74.8753738783649
0,0.003,48,0.225,4,2,6,4,1e-07,91.50978388928003,74.0149625935162,92.62176121415997,75.07477567298105
1,0.003,48,0.225,4,1,3,4,1e-07,90.88368192133753,73.91521197007481,92.3498172933083,74.37686939182453
1,0.003,48,0.225,4,1,6,4,1e-07,91.2973172418499,72.26932668329177,91.94930871006001,72.18344965104686
1,0.003,48,0.225,4,2,3,4,1e-07,91.92726417311448,74.3142144638404,92.45615667370089,74.8753738783649
1,0.003,48,0.225,4,2,6,4,1e-07,91.75041155707254,72.36907730673316,91.9154958360189,71.1864406779661
2,0.003,48,0.225,4,1,3,4,1e-07,90.98904834490496,73.46633416458853,92.31281358247746,73.77866400797608
2,0.003,48,0.225,4,1,6,4,1e-07,90.8924743830487,72.91770573566085,92.23561320077204,73.87836490528414
2,0.003,48,0.225,4,2,3,4,1e-07,91.97569352975088,74.76309226932668,92.69069555099233,74.37686939182453
2,0.003,48,0.225,4,2,6,4,1e-07,91.70306842797623,75.06234413965088,93.14966506855036,74.47657028913261
3,0.003,48,0.225,4,1,3,4,1e-07,91.21925662052767,74.3142144638404,92.30640942743358,75.77268195413758
3,0.003,48,0.225,4,1,6,4,1e-07,90.81828016580754,73.41645885286783,91.73857966708995,74.37686939182453
3,0.003,48,0.225,4,2,3,4,1e-07,91.50775039045686,74.3640897755611,92.61107093125747,75.47357926221336
3,0.003,48,0.225,4,2,6,4,1e-07,91.68468975897103,73.66583541147132,92.7533087083103,74.37686939182453
4,0.003,48,0.225,4,1,3,4,1e-07,90.47739945932884,71.97007481296758,91.43145020433936,72.98105682951147
4,0.003,48,0.225,4,1,6,4,1e-07,91.40585083654614,73.41645885286783,91.6836312543715,74.67597208374876
4,0.003,48,0.225,4,2,3,4,1e-07,91.360830630423,73.26683291770574,92.37100334307542,72.38285144566301
4,0.003,48,0.225,4,2,6,4,1e-07,91.53874682532805,74.86284289276807,92.75767269021621,75.2741774675972
5,0.003,48,0.225,4,1,3,4,1e-07,90.61780537826574,71.6209476309227,91.75488055059867,71.78464606181456
5,0.003,48,0.225,4,1,6,4,1e-07,91.30094101446346,74.214463840399,92.18458528359774,74.77567298105683
5,0.003,48,0.225,4,2,3,4,1e-07,92.20699135185099,73.06733167082294,92.54581887335034,72.78165503489531
5,0.003,48,0.225,4,2,6,4,1e-07,91.75251475329576,75.01246882793018,93.22403038063818,74.97507477567298
6,0.003,48,0.225,4,1,3,4,1e-07,90.98435482794073,73.56608478802993,91.6711882280236,74.27716849451646
6,0.003,48,0.225,4,1,6,4,1e-07,91.42104753628145,73.81546134663341,91.4166293588216,74.0777666999003
6,0.003,48,0.225,4,2,3,4,1e-07,92.18865027527711,75.41147132169576,92.59714420469138,73.57926221335993
6,0.003,48,0.225,4,2,6,4,1e-07,92.06037839117202,74.3142144638404,93.17470518607364,75.17447657028913
7,0.003,48,0.225,4,1,3,4,1e-07,91.35893985780064,74.2643391521197,92.1459332983783,74.77567298105683
7,0.003,48,0.225,4,1,6,4,1e-07,90.97545369623943,73.31670822942642,91.33283300188218,74.27716849451646
7,0.003,48,0.225,4,2,3,4,1e-07,91.63569369095897,73.16708229426435,92.91266546280397,73.47956131605184
7,0.003,48,0.225,4,2,6,4,1e-07,91.90564638765822,74.86284289276807,92.81438809658195,75.47357926221336
8,0.003,48,0.225,4,1,3,4,1e-07,90.94651284357542,72.56857855361596,91.6068822633614,74.17746759720838
8,0.003,48,0.225,4,1,6,4,1e-07,91.09521963260845,73.76558603491273,92.3890770372996,74.17746759720838
8,0.003,48,0.225,4,2,3,4,1e-07,91.68300262768975,72.81795511221945,92.49456327783449,73.37986041874377
8,0.003,48,0.225,4,2,6,4,1e-07,92.02111796292876,75.36159600997506,92.44074862064708,74.67597208374876
9,0.003,48,0.225,4,1,3,4,1e-07,91.0540960322631,73.46633416458853,92.01283212045504,73.28015952143569
9,0.003,48,0.225,4,1,6,4,1e-07,91.16715365477937,74.56359102244389,92.06603912709069,75.17447657028913
9,0.003,48,0.225,4,2,3,4,1e-07,91.69148028512849,73.11720698254364,93.05199717734666,73.97806580259221
9,0.003,48,0.225,4,2,6,4,1e-07,91.9328708649151,74.214463840399,92.32003162305996,74.37686939182453
