idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,1,3,4,1e-07,91.15775203680604,72.46882793017456,92.22454206175085,74.57627118644068
0,0.003,48,0.225,4,1,6,4,1e-07,91.16367656735116,73.76558603491273,92.21130089562648,76.07178464606181
0,0.003,48,0.225,4,2,3,4,1e-07,91.20332754031783,71.6209476309227,92.20371146861737,69.69092721834497
0,0.003,48,0.225,4,2,6,4,1e-07,91.18950928788414,72.51870324189527,92.70623690351115,73.77866400797608
1,0.003,48,0.225,4,1,3,4,1e-07,91.21528482944109,73.86533665835412,92.11760161421104,73.97806580259221
1,0.003,48,0.225,4,1,6,4,1e-07,90.81160354682642,74.3142144638404,91.53722526034807,73.37986041874377
1,0.003,48,0.225,4,2,3,4,1e-07,91.43047936754346,73.76558603491273,92.2374802291591,73.678963110668
1,0.003,48,0.225,4,2,6,4,1e-07,92.39903892680859,76.40897755610972,92.76672726205896,75.07477567298105
2,0.003,48,0.225,4,1,3,4,1e-07,91.46049109372109,73.16708229426435,91.55241354323222,73.28015952143569
2,0.003,48,0.225,4,1,6,4,1e-07,91.25745809344112,74.61346633416458,91.79778672989045,73.678963110668
2,0.003,48,0.225,4,2,3,4,1e-07,91.4965782968057,74.61346633416458,92.07681394903703,75.3738783649053
2,0.003,48,0.225,4,2,6,4,1e-07,91.78797504172306,74.86284289276807,93.01854203389239,75.17447657028913
