idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,0.1,4,1,2,4,1e-07,90.46170000365618,73.71571072319202,91.7345364148314,73.97806580259221
0,0.0025,48,0.1,4,1,3,4,1e-07,91.21841494723006,73.51620947630923,91.7585580524487,73.47956131605184
0,0.0025,48,0.1,4,1,4,4,1e-07,90.99738290576772,72.81795511221945,91.86061911351409,75.17447657028913
0,0.0025,48,0.1,4,1,5,4,1e-07,90.64298664993699,73.51620947630923,91.22698527106861,73.87836490528414
0,0.0025,48,0.1,4,1,6,4,1e-07,91.48056753224874,74.3142144638404,91.95461203782543,74.47657028913261
0,0.0025,48,0.1,4,1,7,4,1e-07,91.25231794957334,74.86284289276807,91.68746364171582,74.47657028913261
0,0.0025,48,0.1,4,1,8,4,1e-07,91.28906697069245,75.01246882793018,91.86222745331484,73.77866400797608
0,0.0025,48,0.1,4,1,9,4,1e-07,91.44129810683478,73.31670822942642,92.29458157543976,74.97507477567298
0,0.0025,48,0.1,4,1,10,4,1e-07,91.26154742632718,72.96758104738154,91.72054374355156,72.58225324027916
1,0.0025,48,0.1,4,1,2,4,1e-07,90.80970018923526,72.16957605985037,91.82358375644866,73.08075772681954
1,0.0025,48,0.1,4,1,3,4,1e-07,90.47001996614664,73.26683291770574,91.07689871140482,72.88135593220339
1,0.0025,48,0.1,4,1,4,4,1e-07,90.75414771700976,73.86533665835412,91.61922113426876,73.678963110668
1,0.0025,48,0.1,4,1,5,4,1e-07,91.04980080762776,72.26932668329177,91.80138075570709,75.07477567298105
1,0.0025,48,0.1,4,1,6,4,1e-07,90.68623309989617,70.12468827930175,91.56117798625714,72.28315054835494
1,0.0025,48,0.1,4,1,7,4,1e-07,91.15395638009464,73.06733167082294,91.93293656709231,73.77866400797608
1,0.0025,48,0.1,4,1,8,4,1e-07,91.08938964566906,74.51371571072319,91.95690318872407,75.87238285144566
1,0.0025,48,0.1,4,1,9,4,1e-07,91.35798085503669,73.76558603491273,91.56034688264602,74.17746759720838
1,0.0025,48,0.1,4,1,10,4,1e-07,90.97805908684035,73.01745635910224,91.50109511117176,73.77866400797608
2,0.0025,48,0.1,4,1,2,4,1e-07,91.281074210526,73.11720698254364,91.74689970111096,73.77866400797608
2,0.0025,48,0.1,4,1,3,4,1e-07,90.60888769754678,73.66583541147132,92.12882259415508,73.97806580259221
2,0.0025,48,0.1,4,1,4,4,1e-07,90.16789877016524,72.66832917705736,91.54505836942386,73.28015952143569
2,0.0025,48,0.1,4,1,5,4,1e-07,91.31156796862537,73.51620947630923,92.287923355802,75.07477567298105
2,0.0025,48,0.1,4,1,6,4,1e-07,90.77557648196934,74.3142144638404,91.52933911499971,74.67597208374876
2,0.0025,48,0.1,4,1,7,4,1e-07,91.48614960176272,74.56359102244389,91.96347534537485,75.07477567298105
2,0.0025,48,0.1,4,1,8,4,1e-07,91.2623964527269,74.61346633416458,91.7531723864759,73.28015952143569
2,0.0025,48,0.1,4,1,9,4,1e-07,90.91786008893006,73.11720698254364,91.6855163251165,72.98105682951147
2,0.0025,48,0.1,4,1,10,4,1e-07,90.44575597837073,73.96508728179552,91.95402859095597,74.77567298105683
3,0.0025,48,0.1,4,1,2,4,1e-07,90.51906686798344,73.36658354114714,92.38391423220598,75.67298105682951
3,0.0025,48,0.1,4,1,3,4,1e-07,91.04855566144712,73.96508728179552,92.05642425970547,74.27716849451646
3,0.0025,48,0.1,4,1,4,4,1e-07,90.51829404628184,74.11471321695761,91.46418385267384,74.37686939182453
3,0.0025,48,0.1,4,1,5,4,1e-07,90.89265570018397,73.76558603491273,91.55299276120267,73.87836490528414
3,0.0025,48,0.1,4,1,6,4,1e-07,90.85767980875224,74.214463840399,91.7182407351558,74.37686939182453
3,0.0025,48,0.1,4,1,7,4,1e-07,91.5770353275185,74.46384039900249,92.192705727591,75.17447657028913
3,0.0025,48,0.1,4,1,8,4,1e-07,90.46772621179919,72.46882793017456,91.43572416539612,74.37686939182453
3,0.0025,48,0.1,4,1,9,4,1e-07,90.70055306855276,73.41645885286783,91.2180054093864,73.87836490528414
3,0.0025,48,0.1,4,1,10,4,1e-07,91.23042395273622,74.06483790523691,91.96561290490615,75.3738783649053
4,0.0025,48,0.1,4,1,2,4,1e-07,91.08829037884048,73.36658354114714,91.48567473386265,74.27716849451646
4,0.0025,48,0.1,4,1,3,4,1e-07,91.08998106257616,74.713216957606,91.79142675425788,74.37686939182453
4,0.0025,48,0.1,4,1,4,4,1e-07,90.99678341103187,73.56608478802993,91.30987443522451,73.18045862412762
4,0.0025,48,0.1,4,1,5,4,1e-07,90.6883186657123,72.91770573566085,91.77202366524055,74.67597208374876
4,0.0025,48,0.1,4,1,6,4,1e-07,90.21616904674404,72.11970074812967,91.16317003853861,72.88135593220339
4,0.0025,48,0.1,4,1,7,4,1e-07,90.95728443845643,73.66583541147132,91.9721640985081,72.78165503489531
4,0.0025,48,0.1,4,1,8,4,1e-07,90.86293513990557,73.91521197007481,91.68398184033074,73.47956131605184
4,0.0025,48,0.1,4,1,9,4,1e-07,90.75480613865767,72.41895261845387,91.71182756861732,73.97806580259221
4,0.0025,48,0.1,4,1,10,4,1e-07,91.24568612445559,73.91521197007481,91.69103154523832,73.08075772681954
5,0.0025,48,0.1,4,1,2,4,1e-07,90.54055221964835,73.41645885286783,90.90169027718808,73.08075772681954
5,0.0025,48,0.1,4,1,3,4,1e-07,91.11525483383717,74.11471321695761,91.78698173117749,73.37986041874377
5,0.0025,48,0.1,4,1,4,4,1e-07,90.95564919128279,73.06733167082294,91.91540490061726,74.47657028913261
5,0.0025,48,0.1,4,1,5,4,1e-07,90.78387699321445,72.86783042394015,91.70535775226759,74.67597208374876
5,0.0025,48,0.1,4,1,6,4,1e-07,90.27970428127055,73.91521197007481,91.48664983159301,73.57926221335993
5,0.0025,48,0.1,4,1,7,4,1e-07,90.78306475919231,73.71571072319202,91.535422420828,73.97806580259221
5,0.0025,48,0.1,4,1,8,4,1e-07,90.89135157619343,72.66832917705736,91.77769934120084,74.27716849451646
5,0.0025,48,0.1,4,1,9,4,1e-07,90.81172715482239,73.11720698254364,91.5236748758759,74.17746759720838
