idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,0.1,4,1,2,4,1e-07,90.3477608165618,73.41645885286783,92.07533243343384,74.8753738783649
0,0.0025,48,0.1,4,1,3,4,1e-07,91.02659701279295,73.01745635910224,91.92453430918343,74.27716849451646
0,0.0025,48,0.1,4,1,4,4,1e-07,90.75245951127798,73.56608478802993,91.86682309756071,74.57627118644068
0,0.0025,48,0.1,4,1,5,4,1e-07,90.14425565432809,73.61596009975062,90.53507846181648,72.98105682951147
0,0.0025,48,0.1,4,1,6,4,1e-07,90.63238746441657,73.96508728179552,91.80036092878817,75.2741774675972
0,0.0025,48,0.1,4,1,7,4,1e-07,90.21914481157184,73.76558603491273,91.26639356600482,73.87836490528414
0,0.0025,48,0.1,4,1,8,4,1e-07,90.61959847296033,71.87032418952619,92.02705430114293,73.08075772681954
0,0.0025,48,0.1,4,1,9,4,1e-07,91.1544315270488,71.571072319202,92.55489303900389,73.77866400797608
0,0.0025,48,0.1,4,1,10,4,1e-07,91.00783534467332,74.06483790523691,91.77625820166374,74.17746759720838
1,0.0025,48,0.1,4,1,2,4,1e-07,90.8623830606377,73.36658354114714,91.99351405516637,75.2741774675972
1,0.0025,48,0.1,4,1,3,4,1e-07,90.69389355851234,74.4139650872818,91.20901706262153,74.97507477567298
1,0.0025,48,0.1,4,1,4,4,1e-07,90.69485255420302,73.46633416458853,92.50385873643957,73.97806580259221
1,0.0025,48,0.1,4,1,5,4,1e-07,90.90288939514392,72.56857855361596,91.521075819901,74.0777666999003
1,0.0025,48,0.1,4,1,6,4,1e-07,91.07592694742628,74.214463840399,92.18574237386831,75.57328015952145
1,0.0025,48,0.1,4,1,7,4,1e-07,90.67999954003214,73.96508728179552,92.22888657079957,74.37686939182453
1,0.0025,48,0.1,4,1,8,4,1e-07,90.74638872468289,74.0149625935162,91.8701086188549,73.678963110668
1,0.0025,48,0.1,4,1,9,4,1e-07,90.95292442353717,74.0149625935162,92.11665571434719,73.28015952143569
1,0.0025,48,0.1,4,1,10,4,1e-07,91.09102399206907,74.06483790523691,92.24613104061645,73.47956131605184
2,0.0025,48,0.1,4,1,2,4,1e-07,90.4960116412732,72.66832917705736,91.3033324129784,73.77866400797608
2,0.0025,48,0.1,4,1,3,4,1e-07,90.47121792918075,73.61596009975062,91.24577984787523,74.27716849451646
2,0.0025,48,0.1,4,1,4,4,1e-07,91.12158775167046,72.31920199501248,91.52995210540688,73.77866400797608
2,0.0025,48,0.1,4,1,5,4,1e-07,90.42739854665443,72.31920199501248,91.53082534380744,74.17746759720838
2,0.0025,48,0.1,4,1,6,4,1e-07,90.62233689987113,74.1645885286783,91.95596011838147,75.2741774675972
2,0.0025,48,0.1,4,1,7,4,1e-07,90.44363543616213,73.06733167082294,91.82233935420959,74.0777666999003
2,0.0025,48,0.1,4,1,8,4,1e-07,91.04276769517757,73.06733167082294,92.04253608093347,73.77866400797608
2,0.0025,48,0.1,4,1,9,4,1e-07,90.7610758232237,74.66334164588528,91.71050259463527,73.57926221335993
2,0.0025,48,0.1,4,1,10,4,1e-07,89.80017113604825,73.06733167082294,90.77612822784815,72.28315054835494
3,0.0025,48,0.1,4,1,2,4,1e-07,90.70272974035241,74.2643391521197,92.3359041209164,73.97806580259221
3,0.0025,48,0.1,4,1,3,4,1e-07,90.28038989580878,73.31670822942642,91.19859574168217,73.37986041874377
