idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
0,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.27940467434263,74.56359102244389,92.84271675155173,72.98105682951147,46495
1,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.28496985654095,74.56359102244389,93.15592814619755,75.2741774675972,46495
2,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.24976424084383,72.86783042394015,92.8056659114985,74.57627118644068,46495
3,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.6512033444572,74.56359102244389,92.99223396577986,76.07178464606181,46495
4,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,91.4943149090253,73.36658354114714,92.69788598279442,75.47357926221336,46495
5,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.72857336559869,74.76309226932668,93.08805305322664,73.77866400797608,46495
6,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.2387011164927,75.01246882793018,93.00516846182389,73.57926221335993,46495
7,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.13027034809515,74.86284289276807,93.19076833406311,75.17447657028913,46495
8,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.03230829936616,74.06483790523691,93.04267398436244,76.17148554336988,46495
9,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.12953088152473,76.10972568578553,92.97806990903848,75.2741774675972,46495
