idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
0,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.10633989728055,74.4139650872818,92.89735726746588,75.07477567298105,53623
1,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.58921381853494,74.2643391521197,93.06038239652199,75.57328015952145,53623
2,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.30636950603504,74.51371571072319,92.69072700480277,75.07477567298105,53623
3,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.72011395504374,74.4139650872818,92.89847763097983,74.47657028913261,53623
4,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.21970793995585,75.71072319201994,93.19433577814841,74.8753738783649,53623
5,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.80958234646225,74.46384039900249,92.72369864717659,73.37986041874377,53623
6,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.30522288025628,74.3142144638404,93.24014942185578,74.37686939182453,53623
7,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.46011592857128,73.61596009975062,93.1372219370523,75.57328015952145,53623
8,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.57047239515117,74.4139650872818,93.37500250062486,75.77268195413758,53623
9,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.34926507780963,74.51371571072319,92.70421777222329,74.27716849451646,53623
10,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.66962018498664,75.66084788029926,93.07745017442564,75.77268195413758,53623
11,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.73408731790587,74.81296758104739,92.9362371417659,74.47657028913261,53623
12,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.39683714671875,74.214463840399,93.41301101034617,75.3738783649053,53623
13,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.09538419728945,75.06234413965088,93.51140317976805,74.67597208374876,53623
14,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.5957840066548,75.46134663341645,93.26684367257823,75.67298105682951,53623
15,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.61203561267577,75.96009975062344,93.32797780816139,75.57328015952145,53623
16,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.37261793418952,73.96508728179552,92.94893124968411,75.87238285144566,53623
17,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.57625077063697,75.86034912718205,92.88205984154484,76.07178464606181,53623
18,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.15593646617386,74.214463840399,93.30520844539309,75.3738783649053,53623
