idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
0,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.64943074615019,75.11221945137157,93.20227519131025,75.3738783649053,53479
1,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.25425959835668,75.56109725685786,93.42149553718855,75.67298105682951,53479
2,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.10334090618888,75.76059850374065,93.1142407725968,76.37088733798603,53479
3,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,91.99842971329899,73.61596009975062,93.0309001447873,74.67597208374876,53479
4,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.36668999415998,75.01246882793018,93.065279068629,74.17746759720838,53479
5,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.46336302301209,74.91271820448878,93.30181196911217,75.57328015952145,53479
6,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.60001985955263,75.56109725685786,93.18560560127285,75.07477567298105,53479
7,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.33389497687794,74.4139650872818,93.17234492601713,75.2741774675972,53479
8,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.04560280749604,74.4139650872818,92.94827539550788,75.2741774675972,53479
9,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.51352354243126,74.66334164588528,92.80810290169707,74.67597208374876,53479
10,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.19880564707614,73.31670822942642,92.9114434165677,76.37088733798603,53479
11,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.07736057132027,73.66583541147132,92.76841886534169,75.97208374875373,53479
12,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.26629371585425,74.86284289276807,93.2129946377273,75.67298105682951,53479
13,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.33116390802941,75.81047381546135,93.03378582145376,75.17447657028913,53479
14,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,91.97388831611198,73.06733167082294,92.94082742925556,73.28015952143569,53479
15,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.65861490214992,74.96259351620948,92.84321115439269,74.57627118644068,53479
16,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.33997105609379,74.76309226932668,93.34945939271722,74.37686939182453,53479
17,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.50795105547593,74.76309226932668,92.76928986223129,74.8753738783649,53479
18,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.21524742004529,73.56608478802993,93.11733031871185,74.77567298105683,53479
19,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.70707611040578,74.56359102244389,93.05032375429663,75.57328015952145,53479
20,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,91.57285863677461,75.11221945137157,92.64263148306473,75.17447657028913,53479
21,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.42128138995298,75.56109725685786,93.15074054645275,75.3738783649053,53479
22,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,91.98919797838512,74.81296758104739,93.07758944701806,74.47657028913261,53479
23,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,91.84204000786798,73.91521197007481,92.75276001254792,75.3738783649053,53479
24,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.16880455684667,74.3640897755611,93.32552695301523,73.47956131605184,53479
25,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.34235318625534,75.11221945137157,93.17954102873942,74.67597208374876,53479
26,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.34751134970274,73.46633416458853,92.64191451784802,73.87836490528414,53479
27,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.21551558639288,74.4139650872818,93.23043687542597,74.8753738783649,53479
28,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.26880867403675,74.76309226932668,92.98301711506356,76.47058823529412,53479
29,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.14455354537573,74.91271820448878,93.06408014804742,75.2741774675972,53479
30,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.40784355418837,73.91521197007481,93.14173561218091,75.2741774675972,53479
31,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.2102021870642,75.51122194513715,93.03162007873968,76.86939182452642,53479
32,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.07674455694249,74.3640897755611,92.81432659253369,75.97208374875373,53479
33,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.39837321176607,74.81296758104739,92.99436428346924,75.2741774675972,53479
34,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.21818189216984,74.2643391521197,93.11417600309656,74.47657028913261,53479
35,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.2936418583879,74.06483790523691,93.0021554407879,74.67597208374876,53479
36,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.42686485842289,75.26184538653366,93.2184247925905,76.17148554336988,53479
37,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.39623946907406,74.91271820448878,93.48992583446787,75.47357926221336,53479
