idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,test_auc,test_acc,val_auc,val_acc,#params
0,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.76456564895888,75.66084788029926,93.61350536847402,76.07178464606181,48823
1,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.79792153404783,75.86034912718205,92.79300722914931,75.17447657028913,48823
2,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.00585414678457,74.3640897755611,93.21775022906793,74.47657028913261,48823
3,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.59781750925148,74.81296758104739,93.47858514125166,75.07477567298105,48823
4,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.82909053748068,74.96259351620948,92.80842828344808,75.3738783649053,48823
5,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.4559490459388,74.06483790523691,93.2562363817163,75.47357926221336,48823
6,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.92672812906918,74.81296758104739,92.84189238806873,73.678963110668,48823
7,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.12457111351357,74.66334164588528,92.86764525091657,73.57926221335993,48823
8,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.45551866697926,75.96009975062344,92.884687596831,75.77268195413758,48823
9,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.04039853731186,75.46134663341645,92.97475673098324,75.87238285144566,48823
10,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.19880926021177,75.76059850374065,93.1022364535734,74.47657028913261,48823
11,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.43757482658619,75.21197007481297,92.8757491959108,74.57627118644068,48823
12,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.74290214449911,75.56109725685786,93.40139092815221,76.76969092721835,48823
