idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,92.28621426582056,74.51371571072319,75.36159600997506,93.78417286172773
1,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,91.36718191401744,74.1645885286783,74.2643391521197,92.67379073066343
2,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,91.83752555937357,74.1645885286783,74.66334164588528,93.25521048704644
3,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.4107757195355,74.1645885286783,73.81546134663341,93.00277201933717
4,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.4944081998895,74.2643391521197,74.0149625935162,92.82147608901884
5,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.9385133669876,73.86533665835412,73.46633416458853,92.65397040856277
6,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.57198147119257,73.56608478802993,73.01745635910224,92.5818226931752
7,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,92.2361925957771,74.91271820448878,76.05985037406484,92.40937831665616
8,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.30220136662271,73.71571072319202,72.71820448877806,93.27068205298372
9,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,91.94990194059766,73.46633416458853,74.06483790523691,92.84068204558179
10,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,92.14374752414284,74.3142144638404,74.3142144638404,93.33031775794353
11,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,92.23877260303685,73.41645885286783,73.71571072319202,93.06713260227414
12,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,91.92909617746274,74.11471321695761,74.66334164588528,92.95460432560488
13,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.75291366169056,73.61596009975062,72.56857855361596,92.87327614435178
14,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.74376266740379,74.56359102244389,73.46633416458853,92.95255032349785
15,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,92.06148569394225,74.214463840399,73.46633416458853,92.91097015730305
16,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,91.86526383573589,74.2643391521197,74.3142144638404,93.00220901918922
17,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,92.52744569859931,75.06234413965088,74.1645885286783,92.8893945087385
18,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,91.37919551340848,74.76309226932668,75.16209476309227,92.70488634747593
19,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.07534439772012,73.81546134663341,73.46633416458853,92.66429388561593
20,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,92.03269945595355,75.11221945137157,74.713216957606,92.73976111305925
21,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,91.8292997931949,74.2643391521197,74.713216957606,92.92059239264668
22,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,91.73251552741968,73.31670822942642,73.51620947630923,92.98560530334983
23,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.82976584362815,73.61596009975062,73.06733167082294,92.69570177368959
24,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,91.75305188305339,74.1645885286783,74.214463840399,92.57758597640766
25,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,91.83984045395128,72.66832917705736,72.66832917705736,92.62341787002512
26,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,last,92.22883012251434,74.214463840399,74.56359102244389,92.39739521337009
