idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
0,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.77589114817545,75.26184538653366,93.13498841522303,75.17447657028913,103327
1,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.53459066915241,74.76309226932668,93.68813274707962,77.06879361914257,103327
2,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.65938644120867,74.96259351620948,93.12735947798608,74.0777666999003,103327
3,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.15376105678726,75.31172069825436,93.55089867927411,75.57328015952145,103327
4,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.30703237178741,74.76309226932668,93.40040700154759,75.57328015952145,103327
5,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.30199403474784,74.76309226932668,93.07291547664937,73.57926221335993,103327
6,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.24622951168874,75.66084788029926,93.52074125461739,75.07477567298105,103327
7,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.31895297211898,75.71072319201994,92.90515485454864,74.8753738783649,103327
8,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.46405231787323,74.66334164588528,93.44944093520184,75.17447657028913,103327
9,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.31700877130923,74.3142144638404,93.3208318667022,75.3738783649053,103327
10,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.41227978427607,75.76059850374065,93.42579980458183,74.57627118644068,103327
11,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.77883382512829,75.81047381546135,93.30107550813221,73.57926221335993,103327
12,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.80588246137563,76.05985037406484,93.22957098113346,74.77567298105683,103327
13,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.69914704922219,75.61097256857855,93.04237878424274,74.37686939182453,103327
14,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.33136561785982,74.46384039900249,93.24365845977593,75.17447657028913,103327
15,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.73815448900231,75.41147132169576,92.85472971828898,74.27716849451646,103327
16,0.0025,48,"{'embedding_attn': 0.375, 'after_attn': 0.275, 'feedforward': 0.275, 'embedding_pos': 0.225}",4,3,3,4,1e-07,filter,False,kipu,1,True,3,False,1,chain,92.5544679031587,75.76059850374065,93.01510457288994,74.47657028913261,103327
