idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
0,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,2,False,12,chain,92.8078626898654,75.81047381546135,93.07493104943599,75.2741774675972,48871
1,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,2,False,12,chain,92.69748851714982,75.31172069825436,92.92299686257773,75.97208374875373,48871
2,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,2,False,12,chain,92.13137971916362,74.56359102244389,93.13488345603218,75.3738783649053,48871
3,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,2,False,12,chain,92.5592628045192,75.11221945137157,93.27572318922961,74.37686939182453,48871
4,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,2,False,12,chain,92.437426921504,73.86533665835412,93.39093814354776,74.77567298105683,48871
5,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,2,False,12,chain,92.67776411047024,75.26184538653366,93.10927569209906,75.2741774675972,48871
6,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,2,False,12,chain,92.23974567523528,74.66334164588528,92.951448546896,75.2741774675972,48871
7,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,2,False,12,chain,92.5427287758357,75.41147132169576,92.93507952403021,75.97208374875373,48871
8,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,2,False,12,chain,92.53391102505401,75.96009975062344,93.41662822414945,76.07178464606181,48871
9,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,2,False,12,chain,92.3297854593247,74.4139650872818,93.24857787809867,75.97208374875373,48871
