idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
0,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.49039101570375,75.11221945137157,92.56910780704722,75.57328015952145,26887
1,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.8265683275141,74.56359102244389,92.88155133708091,73.87836490528414,26887
2,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.52025268216676,75.21197007481297,92.79555611642785,74.47657028913261,26887
3,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.43382016335542,74.91271820448878,92.99973149541484,74.27716849451646,26887
4,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.60490107217821,76.00997506234414,93.49194727419315,75.57328015952145,26887
5,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.60398531931794,73.81546134663341,92.6464865237788,74.77567298105683,26887
6,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.18690588954358,75.06234413965088,92.72446475139063,75.87238285144566,26887
7,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.21064051102688,75.16209476309227,92.60498077453254,74.8753738783649,26887
8,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.92326688680443,73.76558603491273,93.20769908150373,76.27118644067797,26887
9,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.99997825589898,74.96259351620948,92.94460160233199,74.47657028913261,26887
10,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.13863146839091,74.51371571072319,93.10403811351264,75.17447657028913,26887
11,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.48777488324777,74.214463840399,93.12180733725936,75.17447657028913,26887
12,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.99812786614679,73.41645885286783,92.95863647023864,74.27716849451646,26887
13,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.73587073112479,73.11720698254364,92.72760136246649,74.17746759720838,26887
