idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,RD,paralel,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.97709351072332,73.36658354114714,73.16708229426435,92.52524240225446
1,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.72468530042345,74.214463840399,74.0149625935162,92.89800085156054
2,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.61989667598134,72.96758104738154,73.21695760598503,92.5319051261362
3,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.9930985706516,74.11471321695761,74.11471321695761,92.4415989425607
4,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,92.02297561859345,74.86284289276807,73.61596009975062,92.43286103964373
5,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.58830752192742,73.71571072319202,73.61596009975062,92.52679120723506
6,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.00252873440553,73.41645885286783,73.26683291770574,92.17003832877558
7,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.74741159177955,74.61346633416458,74.51371571072319,92.83285702183416
8,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.09710441012278,73.41645885286783,73.36658354114714,92.0582459650957
9,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.53766646713541,74.11471321695761,73.56608478802993,92.43949776193574
10,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.83897675048429,74.66334164588528,74.56359102244389,92.8786394770843
11,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.70473404277789,73.81546134663341,74.214463840399,92.41927297391082
12,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.46184657595953,74.11471321695761,74.0149625935162,92.99673473054375
13,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.84183929757226,73.91521197007481,75.21197007481297,92.8146167486078
14,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.31297006194939,74.214463840399,74.214463840399,92.66551688943053
15,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.9991636157603,74.0149625935162,74.0149625935162,92.8300160548177
16,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.49780206329258,73.61596009975062,73.86533665835412,92.598876708118
17,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.47754479550602,74.06483790523691,74.713216957606,92.21766797525743
18,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.37438214364805,74.46384039900249,73.96508728179552,92.43663905691334
19,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.9654614618289,73.81546134663341,73.26683291770574,92.51267827104333
20,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.35321273016281,74.2643391521197,74.2643391521197,92.36261339893714
21,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.99782315775958,74.46384039900249,73.96508728179552,92.35524182562635
22,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.83004635275952,74.0149625935162,74.56359102244389,93.06913125142276
23,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.39072078301955,73.41645885286783,73.76558603491273,92.36865929471404
24,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.85850504993951,73.86533665835412,73.81546134663341,92.80081054488747
