idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,92.00618678222179,75.66084788029926,92.91859114160796,74.8753738783649
0,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,91.57122930647094,73.41645885286783,92.5631195914449,74.77567298105683
0,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.67212042983512,73.51620947630923,92.72485120389241,74.47657028913261
0,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,92.279655176011,74.81296758104739,93.26247700211606,74.57627118644068
1,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,92.06945192387403,74.713216957606,92.80965903094423,74.77567298105683
1,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,90.91373217990298,73.51620947630923,92.83758335835451,73.97806580259221
1,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.80525429599301,73.26683291770574,93.28437369761907,74.47657028913261
1,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.52749448128911,74.56359102244389,92.67081037161596,76.27118644067797
2,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.50174439691332,74.11471321695761,92.7664899533282,75.47357926221336
2,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,91.77735606868602,74.713216957606,92.87896583845416,76.47058823529412
2,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.73500225083025,74.66334164588528,92.6881362772226,75.67298105682951
2,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.75991757715015,74.86284289276807,92.58636109302427,74.27716849451646
3,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.4413887339531,73.41645885286783,92.22126475287936,75.17447657028913
3,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,92.02169480870332,73.61596009975062,93.0401838246646,74.67597208374876
3,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.5257179562063,73.51620947630923,92.93450698563731,74.97507477567298
3,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,92.16388661079738,75.16209476309227,93.23650206992346,74.97507477567298
4,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,92.16705588163173,74.96259351620948,92.69616987302317,74.57627118644068
4,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,92.06760633837351,73.86533665835412,92.69364592067024,74.17746759720838
4,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,92.29840335154726,75.16209476309227,93.34900417797486,76.86939182452642
