idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.01250592821596,74.2643391521197,73.66583541147132,92.89387827773064
1,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.93194460119956,74.06483790523691,73.56608478802993,92.57033226799486
2,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.72859810902854,74.4139650872818,74.06483790523691,92.82258794109211
3,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.33871325751474,74.214463840399,74.56359102244389,92.7487235952812
4,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.0114143591707,74.713216957606,73.36658354114714,92.67380442037607
5,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.33271804790576,73.01745635910224,73.61596009975062,92.6354587619431
6,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.15815875703106,74.76309226932668,74.81296758104739,92.7138085451351
7,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.62675259167827,73.06733167082294,73.21695760598503,92.76657303343008
8,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.66598563079876,75.11221945137157,74.11471321695761,93.03388330138021
9,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.57704339725178,73.61596009975062,73.91521197007481,92.80287690375287
10,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.30737732840689,74.2643391521197,74.91271820448878,92.45754562136655
11,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.15764961148753,74.214463840399,74.51371571072319,93.15604053094997
12,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.95735152419485,73.76558603491273,72.01995012468828,93.3404832351974
13,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.11336785038033,74.11471321695761,74.11471321695761,92.6491865144324
14,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.69380993331116,74.0149625935162,74.3640897755611,92.90397894107684
15,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.24847715650783,76.15960099750623,74.713216957606,93.02912606634732
16,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.10461939011473,75.16209476309227,75.26184538653366,92.78172627238035
17,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.41566989903683,73.96508728179552,74.3640897755611,92.64780109953863
18,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.38099047726624,74.214463840399,73.61596009975062,92.66198679490823
19,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.45773963695846,75.26184538653366,75.01246882793018,92.9253543135456
20,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.9781766930042,73.46633416458853,73.61596009975062,93.079836689443
21,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.94776717894196,73.56608478802993,71.6209476309227,92.45381746630571
22,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.7092872474436,74.1645885286783,72.96758104738154,93.0459636351985
23,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.50622210409527,74.86284289276807,73.66583541147132,93.1574404338263
24,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.55529293212219,74.214463840399,73.86533665835412,92.71843791218595
25,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.89380043136975,73.86533665835412,73.91521197007481,92.56332762620649
26,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.13363280203453,74.2643391521197,73.66583541147132,92.66203151971862
27,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.01511085089533,73.96508728179552,74.06483790523691,93.27553513088331
28,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.84737679782299,74.1645885286783,74.46384039900249,93.0845111881695
29,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.69046209464527,73.81546134663341,73.56608478802993,92.7753963553006
30,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.84028114932204,73.91521197007481,74.2643391521197,92.75413323547738
31,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.96759599820084,72.66832917705736,74.2643391521197,92.19736160403608
32,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.09419833537336,75.26184538653366,74.81296758104739,93.3117375706982
33,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.24797165952488,72.86783042394015,74.11471321695761,92.50226282769309
34,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.44449532309584,75.26184538653366,75.11221945137157,93.06299193580548
35,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.92763240671378,73.91521197007481,73.91521197007481,93.23489431898145
36,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.65306216380078,74.1645885286783,73.66583541147132,93.30021168284233
37,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.89702369569659,75.16209476309227,74.3640897755611,92.98050189342234
38,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.29981794595837,74.46384039900249,74.51371571072319,92.5878942814985
39,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.7393935560645,74.2643391521197,74.1645885286783,92.67810504191326
40,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.15274105622457,74.56359102244389,74.56359102244389,93.46348371367
41,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.06791151402197,74.713216957606,75.51122194513715,92.83914161280097
42,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.12032791096895,73.41645885286783,73.86533665835412,93.34444234808791
43,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.97619552594193,73.06733167082294,74.91271820448878,92.62607140328875
44,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.84576149938088,75.11221945137157,74.61346633416458,93.00562692820364
45,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.96228086003514,74.76309226932668,74.713216957606,93.16185383919347
46,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.77829308171252,74.0149625935162,74.713216957606,92.51851447763346
47,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.57797536588551,74.713216957606,73.76558603491273,92.45421348728023
48,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.01522484885388,75.31172069825436,75.81047381546135,93.13132567880793
49,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.60557677469752,73.61596009975062,74.46384039900249,92.27549958593265
50,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.23038188652606,75.21197007481297,74.51371571072319,92.6890278999113
51,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.03839011602788,73.36658354114714,73.36658354114714,93.1110323554126
52,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.98336533003851,73.91521197007481,73.21695760598503,92.92684601855818
53,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.20992490697054,74.713216957606,74.713216957606,92.50569186553523
54,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.74142867765205,72.96758104738154,72.41895261845387,93.51137568267802
55,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.89638437988673,73.21695760598503,72.11970074812967,93.06882521336149
56,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.82834432382523,74.2643391521197,74.91271820448878,92.3062302531635
57,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.22254347799446,73.61596009975062,73.06733167082294,93.22022054643124
58,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.07705781649256,75.61097256857855,75.21197007481297,93.0228529860959
59,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.6038718352618,72.71820448877806,72.61845386533666,92.90073315438254
60,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.02201948065569,72.41895261845387,72.26932668329177,92.89912553374383
61,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.12794852147928,73.51620947630923,74.86284289276807,93.3541462014626
62,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.87406366680298,74.81296758104739,74.3142144638404,92.54484630820379
63,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.06070762816637,73.71571072319202,73.26683291770574,92.87540495342553
64,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.96012357907327,75.06234413965088,75.31172069825436,93.31529603151753
65,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.10724760326532,73.96508728179552,73.96508728179552,92.72685690732239
66,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.42936762532419,74.56359102244389,74.06483790523691,93.28712176762909
67,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,92.38541198532431,74.11471321695761,74.3640897755611,92.76613474018744
68,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,92.32550796911832,74.86284289276807,74.06483790523691,92.75785540146593
69,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.76416102200432,74.56359102244389,73.51620947630923,93.22057793484059
70,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.7795286296355,73.61596009975062,74.56359102244389,93.2682467511328
71,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.69731599956056,75.86034912718205,75.01246882793018,92.50970035066318
72,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,last,91.85924836233795,74.3142144638404,74.4139650872818,92.81612769481565
73,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.72216194134958,74.81296758104739,74.61346633416458,92.54954296012
74,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.81785485958206,75.41147132169576,74.11471321695761,92.9064822453894
75,0.0025,48,0.225,4,2,3,4,1e-07,True,True,False,False,True,penny,best,91.88002216580749,75.61097256857855,73.16708229426435,92.58448528384334
