idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,RD,paralel,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,True,92.12673952997748,74.4139650872818,74.4139650872818,92.57188014309516
1,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,True,91.68546975951232,74.2643391521197,74.56359102244389,92.33119646470281
2,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.60127144807981,74.66334164588528,74.61346633416458,93.20504363426171
3,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,90.90134857383468,72.76807980049875,72.81795511221945,92.30699627668005
4,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.58064425400568,74.2643391521197,73.76558603491273,92.96885505125286
5,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.37133985425238,74.11471321695761,73.81546134663341,92.48188393683306
6,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.80826901379942,75.31172069825436,75.21197007481297,92.43907998611688
7,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,True,91.68214018234845,73.11720698254364,73.36658354114714,92.37174607650284
8,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.7688052787284,74.86284289276807,74.214463840399,92.52620814405267
9,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.6871798043242,73.11720698254364,71.47132169576061,92.89659206412921
10,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.85233077480162,74.713216957606,73.91521197007481,92.88053407804954
11,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.65248688960051,73.96508728179552,73.56608478802993,92.43699815872094
12,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.49982803499356,73.56608478802993,73.31670822942642,92.52042422977546
13,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.35744627234617,75.16209476309227,74.66334164588528,92.14184236039381
14,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.47273340340801,74.66334164588528,73.16708229426435,92.52416114386094
15,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,92.08504787395769,74.713216957606,74.61346633416458,92.98113928321844
16,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.56735436361906,74.76309226932668,74.76309226932668,92.74045000233436
17,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,True,91.18701982983792,72.61845386533666,72.51870324189527,92.7055907482292
18,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.46607125335329,74.46384039900249,73.36658354114714,92.61929352671245
19,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,True,91.35701352677073,73.31670822942642,73.56608478802993,92.55111787879537
20,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,True,91.73291538324919,72.66832917705736,73.96508728179552,92.0591032038775
21,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.68900806023514,74.1645885286783,73.21695760598503,92.87146992625924
22,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,92.05544775941947,74.76309226932668,74.51371571072319,92.57808248767452
23,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,True,91.7412719778318,72.76807980049875,73.41645885286783,92.70054881884205
24,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,True,91.58443380302414,72.66832917705736,73.96508728179552,92.86927627105767
25,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,True,91.70152444491312,73.76558603491273,74.11471321695761,92.29238990480401
26,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,91.68118022369211,74.86284289276807,74.713216957606,92.17572329910514
27,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,True,92.01177091447293,74.51371571072319,73.21695760598503,92.85168760466462
