idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,RD,paralel,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.47231676584462,74.3142144638404,73.71571072319202,92.86997909568656
1,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,91.24058833908593,71.2219451371571,70.97256857855362,92.70341975251783
2,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,91.90827243703387,73.11720698254364,73.81546134663341,93.07375905298441
3,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.08527989468139,72.31920199501248,73.01745635910224,92.49526826783631
4,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.48160286615948,74.51371571072319,73.41645885286783,93.2252812411037
5,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.46255265784163,72.81795511221945,73.66583541147132,92.80049709732741
6,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.31431708914603,71.87032418952619,72.41895261845387,93.12385374166698
7,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.61298162241296,73.76558603491273,72.41895261845387,93.11268135005403
8,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.63944852300885,74.3142144638404,72.06982543640898,93.35816012530759
9,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.2648771927261,73.46633416458853,74.46384039900249,93.03099938497112
10,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,91.87290951197427,74.2643391521197,73.46633416458853,93.23010492013573
11,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.2618083358296,75.36159600997506,73.11720698254364,92.81246048639822
12,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.1853856930085,74.3142144638404,73.81546134663341,92.83247311233097
13,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.91459741115577,75.46134663341645,74.56359102244389,92.95711449934436
14,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.07750675441179,72.76807980049875,72.76807980049875,92.88758885903673
15,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,91.99471835309679,73.86533665835412,73.91521197007481,92.81722818009516
16,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.38416882110086,75.71072319201994,74.96259351620948,92.99895304636728
17,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.06670192031933,72.11970074812967,72.41895261845387,92.85590784104495
18,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.21392481560174,75.11221945137157,75.36159600997506,92.7169969714406
19,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.5384245116595,72.71820448877806,73.76558603491273,93.1822923296472
20,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,91.2011832345283,71.2219451371571,71.37157107231921,92.4171773280691
21,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,91.99695676032275,73.71571072319202,72.26932668329177,93.02523283608687
