idx,test_auc,test_acc,val_auc,val_acc,#params
0,83.00101529877449,61.84538653366584,90.64546338766661,72.28315054835494,26943
1,80.20866018111937,52.21945137157107,90.36177497390038,71.08673978065802,26943
2,80.44171568348776,59.30174563591022,90.41643423678515,71.38584247258225,26943
3,79.25182989877956,62.44389027431422,90.8053418295248,70.88733798604187,26943
4,82.42645317956836,56.70822942643392,89.75587493946506,71.38584247258225,26943
5,82.90625398365054,60.89775561097257,90.53541648654664,71.38584247258225,26943
6,81.09670048873056,57.95511221945138,90.66804320570246,71.9840478564307,26943
7,82.55770136356254,62.543640897755616,90.87271091538668,71.78464606181456,26943
8,80.71837674801723,58.753117206982544,90.58671243299813,72.28315054835494,26943
9,79.840977997545,61.446384039900245,90.70031568824035,72.48255234297109,26943
10,79.29278211413877,58.25436408977556,90.47276894569394,71.88434695912264,26943
11,83.16233923362357,57.605985037406484,90.4224392317171,72.48255234297109,26943
12,83.29074166516591,62.44389027431422,90.71977041800257,72.88135593220339,26943
13,81.32520975853038,51.82044887780549,90.30710726630129,72.78165503489531,26943
14,78.6261392608852,59.45137157107232,89.94635765395847,70.28913260219342,26943
16,80.12321565708861,57.40648379052369,90.66949236522846,72.98105682951147,26943
17,81.07242146295705,60.249376558603494,90.36455291825388,71.68494516450647,26943
