idx,test_auc,test_acc,val_auc,val_acc,#params, lr, patch_size, dropout, num_head, num_transf, RBF_similarity, mlp_size, weight_decay, attention_selection, entangle, RD, paralel, patience, connectivity, scheduler_factor, q_stride, quantum_data, quantum_mlp, quantum_classification, train_q
0,91.881830917179,74.0149625935162,92.81671524158078,74.27716849451646,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
1,92.11195741664311,74.11471321695761,92.48424583417946,73.678963110668,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
2,91.7232007265706,74.214463840399,92.53211588152062,75.3738783649053,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
3,92.07251660207613,74.3142144638404,92.61540856596497,74.77567298105683,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
4,91.88204161170732,72.81795511221945,92.78652975802902,74.77567298105683,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
5,91.95938440118029,74.76309226932668,92.51748527278092,74.57627118644068,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
6,91.91175713281147,74.4139650872818,92.42767508945062,74.57627118644068,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
7,91.83328369589132,74.61346633416458,92.43469167914702,74.37686939182453,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
8,91.93645019412688,74.51371571072319,92.93269060125625,75.47357926221336,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
9,91.96613983956328,74.76309226932668,92.79873022700109,75.47357926221336,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
10,91.4107882563365,74.06483790523691,92.51291485587656,73.57926221335993,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
11,91.82638183474211,73.81546134663341,92.56010936931388,73.97806580259221,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
12,91.60732067038033,74.61346633416458,92.55743715422061,74.27716849451646,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
13,91.87581999972508,75.21197007481297,92.77754071030294,75.87238285144566,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
14,91.7762151931015,76.40897755610972,92.35570451003817,74.8753738783649,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
15,91.60495003415117,73.36658354114714,92.33382100337056,73.18045862412762,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
16,91.74034037020175,73.01745635910224,92.83404080250665,74.77567298105683,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
17,91.99483867425738,74.66334164588528,92.84984118393159,75.47357926221336,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
18,91.8520860327287,73.81546134663341,92.91013257789628,73.77866400797608,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
19,91.91271386267628,74.214463840399,92.96549218113707,75.17447657028913,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
20,91.61629637697114,73.86533665835412,92.41978534449379,73.77866400797608,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
