idx,dropout,lr,quantum_data,test_auc,test_acc,val_auc,val_acc,#params,RD
0,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.89219124439121,72.81795511221945,91.5052572055721,73.87836490528414,1300959,2
0,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.4171989260215,73.91521197007481,92.22339960326809,74.57627118644068,572235,1
0,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.36790163090336,70.82294264339151,90.13045398250962,70.28913260219342,374907,1
0,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.23187996334198,74.91271820448878,92.38542058613788,74.47657028913261,104667,1
0,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.56116319581,74.06483790523691,92.46978536205329,72.68195413758724,31755,1
1,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.80570641568933,72.81795511221945,91.57627622739084,74.0777666999003,1300959,2
1,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.17134385915735,73.86533665835412,92.16421689438009,74.27716849451646,572235,1
1,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.86275871541764,71.67082294264338,90.85654598348991,69.99002991026919,374907,1
1,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.9616798855431,74.96259351620948,92.29219141358001,73.08075772681954,104667,1
1,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.12326287968983,73.46633416458853,91.6467611787051,71.68494516450647,31755,1
2,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.98045397047585,73.56608478802993,91.76496808983052,74.17746759720838,1300959,2
2,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.68681645542573,72.96758104738154,91.87225921788428,73.678963110668,572235,1
2,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,89.10700331610091,72.76807980049875,91.15939320378898,70.48853439680957,374907,1
2,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.12238497497736,73.06733167082294,92.47969333069878,72.58225324027916,104667,1
2,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,90.92861684483579,74.4139650872818,92.10995717155697,72.08374875373879,31755,1
3,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.24227193156746,73.11720698254364,91.59109245375342,74.37686939182453,1300959,2
