idx,dropout,lr,quantum_data,test_auc,test_acc,val_auc,val_acc,#params,RD
0,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.72596874259547,73.11720698254364,92.1831978038688,74.47657028913261,2510523,2
0,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.32834746359633,75.71072319201994,92.81538874726093,74.77567298105683,1573779,1
0,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,88.10225156660563,69.17705735660847,89.78069556490274,64.80558325024926,1028787,1
0,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.39352010671588,75.06234413965088,92.19600239505372,74.67597208374876,284403,1
0,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.59985300369335,74.96259351620948,91.88338793878712,74.37686939182453,85011,1
0,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.41354789594442,75.01246882793018,93.1553871933361,73.28015952143569,85011,1
1,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.30639121473368,73.71571072319202,91.9871864958903,74.47657028913261,2510523,2
1,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.34193748893938,74.46384039900249,92.39304610807922,73.37986041874377,1573779,1
1,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,88.66747341720138,71.02244389027432,89.88505320350836,66.89930209371884,1028787,1
1,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.29235902967564,70.82294264339151,91.98378183255052,72.28315054835494,284403,1
1,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.53594775341499,75.01246882793018,92.4944831505295,72.48255234297109,85011,1
1,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.23253805347366,75.51122194513715,92.6048729185687,73.28015952143569,85011,1
2,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.85637350458052,73.66583541147132,92.19391172021429,74.27716849451646,2510523,2
2,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.1091875091046,72.61845386533666,92.32800509290165,75.17447657028913,1573779,1
2,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,88.14816469940946,67.93017456359102,89.67031452739175,65.50348953140578,1028787,1
2,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.92207552448671,73.61596009975062,91.86822706712276,70.38883349950149,284403,1
2,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.10875699351996,74.3142144638404,92.00065686981426,73.47956131605184,85011,1
2,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.19761997104584,75.46134663341645,92.66606035882171,73.37986041874377,85011,1
3,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.06806194964098,73.81546134663341,92.14625967766824,74.57627118644068,2510523,2
3,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,90.73824528122057,72.11970074812967,92.49811312695088,72.88135593220339,1573779,1
3,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,87.48643611422854,63.690773067331676,88.43131400260144,62.412761714855435,1028787,1
3,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.96445874628164,73.91521197007481,92.2368287800008,72.98105682951147,284403,1
3,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.5321379127483,75.16209476309227,92.02750528808107,72.88135593220339,85011,1
3,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.15038635246752,75.46134663341645,93.20197931476567,75.2741774675972,85011,1
4,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.2062781228972,72.51870324189527,92.0887316819661,73.18045862412762,2510523,2
4,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.45702818545544,74.61346633416458,92.24611283093255,73.37986041874377,1573779,1
4,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,88.30567176121275,69.52618453865337,89.53129808079939,66.40079760717846,1028787,1
4,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.00934948858492,74.06483790523691,92.32701311294356,71.08673978065802,284403,1
