idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.17697888593749,74.86284289276807,92.53366079706308,75.17447657028913
1,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.25846260581586,74.56359102244389,91.81695307543187,74.57627118644068
2,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,92.07293728482338,74.81296758104739,92.7350179877848,75.17447657028913
3,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.40638197989148,75.16209476309227,92.33660260690272,74.97507477567298
4,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.43479297234046,74.46384039900249,92.56638972631237,76.5702891326022
5,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.14651791119319,73.76558603491273,92.2216523029337,75.2741774675972
6,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.68090104089025,75.41147132169576,92.70756373664518,76.07178464606181
7,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.28865677335337,73.81546134663341,92.68044086157678,75.3738783649053
8,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.61787581191683,74.76309226932668,92.52757086574482,74.97507477567298
9,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.60555793796654,74.0149625935162,92.22056049071445,75.2741774675972
10,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.30765927528023,74.11471321695761,92.29401714782409,74.67597208374876
11,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,92.07652278637258,74.61346633416458,92.67868769213715,76.07178464606181
12,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.56144463253578,74.1645885286783,92.87192465149163,75.77268195413758
13,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.74817165301603,74.86284289276807,92.6888680109106,75.47357926221336
14,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.70618609264103,73.66583541147132,92.64893165372705,76.47058823529412
15,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.6040239319821,75.56109725685786,92.15493513817893,74.67597208374876
16,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.65509395764802,74.86284289276807,92.70623972797193,75.97208374875373
17,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.77643103648401,74.713216957606,92.7066253398676,75.47357926221336
