idx,RBF_similarity,test_auc,test_acc,val_auc,val_acc,#params
0,quantum,92.07118475299545,75.31172069825436,92.90781963814388,74.0777666999003,26955
0,linear,92.23730583043725,74.96259351620948,93.18756108469117,74.37686939182453,26945
1,quantum,92.50713932293112,74.61346633416458,93.19368679370335,75.17447657028913,26955
1,linear,92.12169672934878,74.2643391521197,92.4824347571122,74.37686939182453,26945
2,quantum,91.85175013973976,75.01246882793018,92.94876165010268,75.97208374875373,26955
2,linear,91.8157386240908,74.46384039900249,92.60515037183417,74.47657028913261,26945
3,quantum,91.23220431677323,72.81795511221945,92.82028727635596,74.47657028913261,26955
0,quantum,91.78963896811688,73.61596009975062,92.84861813974817,73.87836490528414,26955
0,linear,92.19883824036651,74.56359102244389,92.65250536209473,75.97208374875373,26945
0,quantum,92.11618418057881,74.66334164588528,92.45728602764615,74.37686939182453,26955
0,linear,91.63172068502121,73.81546134663341,92.72163011897433,76.07178464606181,26945
1,quantum,92.38334425432775,74.11471321695761,93.3941035290384,74.47657028913261,26955
1,linear,91.79453334239275,74.0149625935162,92.52210244551775,74.47657028913261,26945
2,quantum,92.02045258455705,73.91521197007481,92.797790484927,75.2741774675972,26955
0,quantum,91.8127019421983,74.06483790523691,92.54310565257168,73.37986041874377,26955
0,linear,92.19244460509391,73.66583541147132,92.3741699618491,74.27716849451646,26945
1,quantum,91.45814318039659,73.41645885286783,92.74075677059344,74.17746759720838,26955
1,linear,91.72120206224334,74.2643391521197,92.91282187916782,74.0777666999003,26945
2,quantum,91.9990970310253,74.3142144638404,92.83124421366242,75.2741774675972,26955
2,linear,91.83201892881972,74.3640897755611,92.87775253985492,74.77567298105683,26945
3,quantum,92.07367085431709,73.66583541147132,92.82343047561864,73.47956131605184,26955
3,linear,91.92424372784316,75.06234413965088,92.646574039975,74.67597208374876,26945
4,quantum,92.20589090718981,73.81546134663341,93.05087481283752,75.87238285144566,26955
