idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.82459241707967,74.1645885286783,74.61346633416458,92.64689479239931
1,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.11386800087958,74.2643391521197,74.2643391521197,93.04403330702503
2,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.7468024819507,74.214463840399,74.66334164588528,92.5458445025979
3,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.76698331018346,73.36658354114714,73.51620947630923,92.58418075618226
4,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,90.98827353345406,73.81546134663341,72.86783042394015,92.33647209337292
5,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.65798237364167,74.2643391521197,73.06733167082294,92.74737743777007
6,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.87379749640633,73.91521197007481,73.36658354114714,92.47419660311293
7,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.83688129835498,72.86783042394015,74.1645885286783,92.15608949744887
8,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.92693354586339,74.1645885286783,73.11720698254364,92.81566938027987
9,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.70724416503181,72.86783042394015,72.11970074812967,92.71569738148943
10,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.01961595306864,75.21197007481297,74.66334164588528,92.75023474155265
11,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.04806146480914,74.81296758104739,74.713216957606,92.87568442006089
12,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.75699172842012,74.06483790523691,73.81546134663341,92.80909398889055
13,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.72164470047332,73.51620947630923,73.66583541147132,92.47050823230367
14,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.23148799085573,73.96508728179552,73.21695760598503,92.45066660786516
15,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.02015539996574,74.76309226932668,74.91271820448878,93.31259066360803
16,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.97328872104036,74.3640897755611,73.96508728179552,92.88130348091254
17,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.2946084823357,73.66583541147132,73.96508728179552,92.81781108979084
18,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.64882740039128,74.86284289276807,75.26184538653366,92.60761963981231
19,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.93609837331884,75.06234413965088,74.61346633416458,92.82432352312713
20,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.84272235942312,74.91271820448878,75.06234413965088,93.04267203740446
21,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.93636453359873,74.56359102244389,74.56359102244389,92.83800602351633
22,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.63723857410723,74.713216957606,74.91271820448878,93.05183572784148
23,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.09066495870093,73.16708229426435,73.46633416458853,92.75416560921933
24,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.93366292083859,75.06234413965088,74.1645885286783,92.59870511283859
25,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.84960854116594,74.56359102244389,74.46384039900249,92.5724486680013
26,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.7959854321997,74.56359102244389,73.61596009975062,93.0324005501441
27,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.78265725429915,74.91271820448878,75.06234413965088,93.00006807437292
28,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.92538859912388,75.61097256857855,75.11221945137157,92.48995769442496
29,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.20019023316163,76.15960099750623,74.91271820448878,93.05982595445317
30,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.35878898100462,74.96259351620948,73.86533665835412,92.78509544825101
31,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.85009317432,74.56359102244389,74.0149625935162,93.1445715117518
32,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.44977809557395,74.96259351620948,74.46384039900249,92.90126540220798
33,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.26729483959068,75.26184538653366,75.26184538653366,92.78640779948165
34,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.31712341718745,75.86034912718205,75.96009975062344,92.51530546008395
35,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.14370858158547,74.3640897755611,74.56359102244389,93.12233945961997
36,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.13675659028814,73.71571072319202,74.1645885286783,92.85019738207748
37,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.16591372461987,74.06483790523691,75.41147132169576,92.8635729849392
38,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.18761483780303,74.0149625935162,74.81296758104739,92.71171787024517
39,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.87235086362273,74.86284289276807,73.71571072319202,93.18982468203401
40,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.11004601267607,73.41645885286783,73.51620947630923,92.2504085856715
41,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.26974776468815,73.81546134663341,73.86533665835412,93.07629088030332
42,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.19816803348566,73.01745635910224,73.36658354114714,92.5231740903378
43,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.99685766874815,73.26683291770574,73.56608478802993,92.54956087201556
44,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.06679170276475,74.86284289276807,73.76558603491273,92.89566361437326
45,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.00666176743066,74.51371571072319,74.86284289276807,93.15803672207485
46,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.74115107685998,75.61097256857855,75.46134663341645,92.65614154657604
47,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.17459719026631,74.0149625935162,75.11221945137157,92.95743117652037
48,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.7023066625599,73.66583541147132,73.86533665835412,92.33746353944069
49,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.64742620596587,74.713216957606,74.46384039900249,92.78206982906883
50,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.01252853115646,73.96508728179552,74.3640897755611,92.58552596643986
51,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.14447502859639,74.3142144638404,73.91521197007481,92.65291514884943
52,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.9393679430499,74.91271820448878,75.26184538653366,92.83254310703477
53,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.07976053763166,74.66334164588528,75.01246882793018,92.51008037965217
54,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.24529126938104,75.51122194513715,73.91521197007481,92.44554379558926
55,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.42825851896896,74.66334164588528,74.51371571072319,92.98655536498623
56,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.0368281104526,72.41895261845387,74.46384039900249,92.3425545787177
57,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.41867801707525,74.0149625935162,73.81546134663341,92.71425598150745
58,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.72993175751486,74.06483790523691,74.61346633416458,92.46203853738066
59,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.28937077540823,75.26184538653366,75.26184538653366,93.49687465743386
60,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.78858781075509,73.91521197007481,74.06483790523691,93.23597630523217
61,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.71948013437736,74.66334164588528,74.0149625935162,92.92547549141415
62,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,91.79810528121926,74.3640897755611,75.16209476309227,92.63434340138447
63,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,91.8380424436711,75.31172069825436,75.11221945137157,92.74654122386657
64,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.01515507829413,75.11221945137157,74.96259351620948,93.02397835961507
65,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.13170525104974,74.91271820448878,74.91271820448878,92.9127154025452
66,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.11140693472605,74.81296758104739,74.2643391521197,92.97161463653059
67,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,last,92.05268355914893,74.3640897755611,74.56359102244389,92.74705504334995
68,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,penny,best,92.1279016540017,75.31172069825436,74.81296758104739,92.35226619666008
