idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.53699584792047,74.96259351620948,92.4127412903656,73.87836490528414
1,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.99727619785975,75.86034912718205,92.91011017077452,75.3738783649053
2,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.77659768385713,74.66334164588528,92.40020196564733,74.97507477567298
3,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.83590922090147,74.46384039900249,92.53483213038498,74.37686939182453
4,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.04182027796702,75.01246882793018,93.34056416897886,74.97507477567298
5,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.61362480418177,74.0149625935162,93.05172146838012,74.57627118644068
6,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.08699102327085,74.214463840399,93.28912609449152,75.2741774675972
7,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.3341850689058,73.01745635910224,92.04131992766395,74.0777666999003
8,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.35406627611738,74.86284289276807,93.03791445063217,76.07178464606181
9,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.32059535634346,74.86284289276807,93.60913120655148,76.37088733798603
10,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.53885612239158,74.214463840399,92.93588050803699,75.87238285144566
11,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.29904433242416,74.81296758104739,92.49397560019649,75.67298105682951
12,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.95922261246078,75.11221945137157,92.7413325043826,74.57627118644068
13,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.84351104616385,73.96508728179552,92.93663382726001,76.37088733798603
14,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.26495053298113,74.713216957606,93.15766912434721,73.678963110668
15,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.67258043591787,75.21197007481297,92.83712352681991,74.47657028913261
16,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.65847519082322,74.1645885286783,92.24021755559437,75.67298105682951
17,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.05636199255588,73.81546134663341,92.79628864292498,74.0777666999003
18,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.22661329432685,75.01246882793018,92.49606120703902,74.57627118644068
19,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.91108917442922,73.96508728179552,92.57436608676988,74.17746759720838
20,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.63874373799118,75.01246882793018,93.01478448062629,75.2741774675972
21,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.45615616342921,74.76309226932668,92.51314362224613,74.67597208374876
22,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.65922593224457,73.91521197007481,92.3647566946001,73.97806580259221
23,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.29026333017976,73.06733167082294,91.84899121030921,74.0777666999003
24,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.96906375141786,74.06483790523691,92.4668838142707,74.17746759720838
25,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.74722971637927,73.51620947630923,92.72856563205517,74.47657028913261
