idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.47248722868399,74.3640897755611,92.15698567976752,73.87836490528414
1,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.6020157595774,74.214463840399,92.48513746947589,74.97507477567298
2,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.22825679713212,73.86533665835412,92.34627141395674,76.17148554336988
3,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,92.18337416004836,74.56359102244389,92.293592171185,74.8753738783649
4,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.74925983839177,74.1645885286783,92.70321599116723,75.2741774675972
5,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.51029155079165,73.71571072319202,92.38488992112416,75.97208374875373
6,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.3510836042332,73.46633416458853,91.94010117738866,74.67597208374876
7,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.36399620444668,74.1645885286783,92.05000853493752,75.3738783649053
8,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.81603598416007,72.46882793017456,92.26688141744172,73.678963110668
9,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.71973410925976,74.81296758104739,92.31317182421074,75.97208374875373
10,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.5198763294417,72.51870324189527,91.84172840390289,73.37986041874377
11,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.7564474474863,75.01246882793018,92.39214527940733,76.47058823529412
12,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.79587090390935,73.31670822942642,92.26573242571293,74.0777666999003
13,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.58777405158538,73.71571072319202,92.21003420386886,75.47357926221336
14,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,92.07503293126001,73.71571072319202,92.1769074065951,74.97507477567298
15,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.7295613912561,74.3142144638404,92.15899082047827,73.08075772681954
16,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.65105871400797,75.01246882793018,92.33479278136397,75.67298105682951
17,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.32695170800643,73.21695760598503,92.23669255608142,73.28015952143569
18,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.68340249486586,74.51371571072319,92.35504106439379,74.17746759720838
19,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.98943966617296,72.56857855361596,92.1916441674475,71.88434695912264
20,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.68429991843351,73.11720698254364,92.63231115067987,74.17746759720838
21,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.5479708177007,73.41645885286783,92.15819429855065,73.28015952143569
22,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.7514112252788,73.46633416458853,92.63876182435766,74.97507477567298
23,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.66984941967546,73.51620947630923,91.90046124777732,74.27716849451646
24,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,92.0122170315829,74.91271820448878,92.97843713804676,76.37088733798603
25,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.83309342392455,75.06234413965088,92.17167194539302,75.77268195413758
26,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.92887161159175,75.46134663341645,92.07119248904206,75.87238285144566
27,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.94972745953571,74.66334164588528,92.34597710516816,75.3738783649053
28,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.30756400540275,73.11720698254364,92.08368357603074,75.07477567298105
29,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.72501631237628,74.06483790523691,92.23826594878605,75.57328015952145
30,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.73357744526027,73.06733167082294,92.19175993690152,75.07477567298105
31,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.48720369778277,73.51620947630923,92.57575256887883,75.57328015952145
32,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.61826497491073,74.2643391521197,92.57971307187259,74.17746759720838
33,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.78467622655987,73.71571072319202,92.5892791470084,75.77268195413758
34,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.90940728094617,74.91271820448878,92.25407996920572,74.0777666999003
35,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,90.56381232428068,71.77057356608478,91.82107518139645,74.47657028913261
36,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.89414036801239,74.214463840399,92.60061146194596,74.77567298105683
37,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,92.20637362163272,74.96259351620948,92.55367388471296,74.17746759720838
38,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.45059479376839,73.76558603491273,91.97261357300383,74.8753738783649
39,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.3499148239259,73.16708229426435,92.25634414168404,73.57926221335993
40,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,92.07185172147805,74.11471321695761,92.46957534642132,75.07477567298105
41,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.6126498307313,72.61845386533666,92.32223312929598,72.48255234297109
42,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.85593425479975,74.0149625935162,92.10449086124648,74.37686939182453
43,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.69041463333285,74.51371571072319,92.4430740324339,74.57627118644068
44,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.72030312700886,74.214463840399,92.13274301975984,74.37686939182453
