idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.47291702843312,73.21695760598503,92.73627384016943,73.87836490528414
1,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.54872573714188,74.81296758104739,92.58043382637638,75.2741774675972
2,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,90.8574847956742,74.81296758104739,92.04802806831563,74.27716849451646
3,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.39238166724472,73.86533665835412,92.3194975030573,74.77567298105683
4,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,90.87482956644601,73.51620947630923,91.91554390612194,73.77866400797608
5,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.58036531948606,71.92019950124688,92.5004660872269,73.97806580259221
6,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.62237742979441,75.26184538653366,92.24546941083454,75.17447657028913
7,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.57905885556798,75.51122194513715,92.74993979290339,75.77268195413758
8,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.59574232317014,73.96508728179552,92.40549194591992,73.57926221335993
9,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.67661878882983,75.81047381546135,92.6730003404867,74.8753738783649
10,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.73292205542808,74.214463840399,92.40131347266399,75.47357926221336
11,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.65370381788675,74.3640897755611,92.59552746350704,74.57627118644068
12,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.3709417246671,74.76309226932668,92.34333595102238,75.2741774675972
13,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.59907953005411,74.51371571072319,92.12795261676717,74.57627118644068
14,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,92.07732716981177,75.46134663341645,92.58149579051766,75.87238285144566
15,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.71453126040177,73.61596009975062,92.20759979445548,73.28015952143569
16,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.77647487528498,74.61346633416458,92.42866266495261,76.17148554336988
17,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.95677805410389,74.11471321695761,92.92301684850595,72.68195413758724
18,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,92.24252983683934,75.81047381546135,93.23687439221338,75.87238285144566
19,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,90.82740788202311,73.06733167082294,92.11471147051006,74.0777666999003
20,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.51225582391956,75.36159600997506,91.99651872946583,74.77567298105683
21,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.45347479752903,73.16708229426435,92.4174337911642,74.27716849451646
22,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.47315453590898,74.51371571072319,92.69749121020999,75.97208374875373
23,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.93992976091073,74.2643391521197,92.85977495041404,74.37686939182453
24,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,92.18673257785383,75.56109725685786,92.76427386973339,76.86939182452642
25,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.92660543200034,75.06234413965088,92.43414307346944,74.0777666999003
