idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,test_auc,test_acc,val_auc,val_acc
0,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.80845122894758,72.96758104738154,92.21237919490034,75.07477567298105
1,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.59575790129404,72.11970074812967,92.53105630991244,74.77567298105683
2,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.64638477142638,73.36658354114714,91.38596486092075,74.27716849451646
3,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.8710098820403,74.11471321695761,92.35107029640163,73.57926221335993
4,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.31374603140269,73.76558603491273,91.75618826884869,72.78165503489531
5,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.20155944264555,73.91521197007481,91.92254862090613,73.77866400797608
6,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.90864748229528,74.214463840399,91.91952671394709,74.57627118644068
7,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.3848474544217,74.06483790523691,92.23317833074185,74.47657028913261
8,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.49569456001834,73.56608478802993,92.07375551262217,75.2741774675972
9,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.16353892357029,73.41645885286783,91.47407994954584,71.78464606181456
10,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.2047812953232,72.26932668329177,91.90243802469489,73.57926221335993
11,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.41127558585482,72.56857855361596,91.82536736731583,72.68195413758724
12,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.65715306983694,74.3142144638404,92.45986637519674,74.97507477567298
13,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.45448183277865,72.91770573566085,91.9984048799639,74.77567298105683
14,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.71386229967496,74.0149625935162,92.44458958670717,74.37686939182453
15,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.8245031313336,75.16209476309227,92.16365482461859,74.27716849451646
16,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.10229762008906,74.11471321695761,91.73757488264945,73.18045862412762
17,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.09314369316175,73.26683291770574,91.94186126800386,72.08374875373879
18,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.1614763392184,74.56359102244389,92.65408639421209,75.67298105682951
19,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.33910550335588,72.81795511221945,92.07025731268955,73.87836490528414
20,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.88161307021929,73.56608478802993,92.1678887000426,72.48255234297109
21,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.38679427772126,74.0149625935162,92.08782149872448,73.678963110668
